Team,League,Year,RS,RA,W,OBP,SLG,BA,RankSeason,RankPlayoffs,NumCompetitors,WonWorldSeries
NYY,AL,1962,817,680,96,0.337,0.426,0.267,2,1,2,1
SFG,NL,1962,878,690,103,0.341,0.441,0.278,1,2,2,0
LAD,NL,1963,640,550,99,0.309,0.357,0.251,2,1,2,1
NYY,AL,1963,714,547,104,0.309,0.403,0.252,1,2,2,0
NYY,AL,1964,730,577,99,0.317,0.387,0.253,1,2,2,0
STL,NL,1964,715,652,93,0.324,0.392,0.272,2,1,2,1
LAD,NL,1965,608,521,97,0.312,0.335,0.245,2,1,2,1
MIN,AL,1965,774,600,102,0.324,0.399,0.254,1,2,2,0
BAL,AL,1966,755,601,97,0.324,0.409,0.258,1,1,2,1
LAD,NL,1966,606,490,95,0.314,0.362,0.256,2,2,2,0
BOS,AL,1967,722,614,92,0.321,0.395,0.255,2,2,2,0
STL,NL,1967,695,557,101,0.32,0.379,0.263,1,1,2,1
DET,AL,1968,671,492,103,0.307,0.385,0.235,1,1,2,1
STL,NL,1968,583,472,97,0.298,0.346,0.249,2,2,2,0
ATL,NL,1969,691,631,93,0.321,0.38,0.258,4,3,4,0
BAL,AL,1969,779,517,109,0.343,0.414,0.265,1,2,4,0
MIN,AL,1969,790,618,97,0.34,0.408,0.268,3,3,4,0
NYM,NL,1969,632,541,100,0.311,0.351,0.242,2,1,4,1
BAL,AL,1970,792,574,108,0.344,0.401,0.257,1,1,4,1
CIN,NL,1970,775,681,102,0.336,0.436,0.27,2,2,4,0
MIN,AL,1970,744,605,98,0.327,0.403,0.262,3,3,4,0
PIT,NL,1970,729,664,89,0.325,0.406,0.27,4,3,4,0
BAL,AL,1971,742,530,101,0.347,0.398,0.261,1,2,4,0
OAK,AL,1971,691,564,101,0.321,0.384,0.252,1,3,4,0
PIT,NL,1971,788,599,97,0.33,0.416,0.274,2,1,4,1
SFG,NL,1971,706,644,90,0.329,0.378,0.247,3,3,4,0
BAL,AL,1973,754,561,97,0.345,0.389,0.266,2,3,4,0
CIN,NL,1973,741,621,99,0.332,0.383,0.254,1,3,4,0
NYM,NL,1973,608,588,82,0.315,0.338,0.246,4,2,4,0
OAK,AL,1973,758,615,94,0.333,0.389,0.26,3,1,4,1
BAL,AL,1974,659,612,91,0.322,0.37,0.256,2,3,4,0
LAD,NL,1974,798,561,102,0.342,0.401,0.272,1,2,4,0
OAK,AL,1974,689,551,90,0.321,0.373,0.247,3,1,4,1
PIT,NL,1974,751,657,88,0.335,0.391,0.274,4,3,4,0
BOS,AL,1975,796,709,95,0.344,0.417,0.275,3,2,4,0
CIN,NL,1975,840,586,108,0.353,0.401,0.271,1,1,4,1
OAK,AL,1975,758,606,98,0.333,0.391,0.254,2,3,4,0
PIT,NL,1975,712,565,92,0.323,0.402,0.263,4,3,4,0
CIN,NL,1976,857,633,102,0.357,0.424,0.28,1,1,4,1
KCR,AL,1976,713,611,90,0.327,0.371,0.269,4,3,4,0
NYY,AL,1976,730,575,97,0.328,0.389,0.269,3,2,4,0
PHI,NL,1976,770,557,101,0.338,0.395,0.272,2,3,4,0
KCR,AL,1977,822,651,102,0.34,0.436,0.277,1,3,4,0
LAD,NL,1977,769,582,98,0.336,0.418,0.266,4,2,4,0
NYY,AL,1977,831,651,100,0.344,0.444,0.281,3,1,4,1
PHI,NL,1977,847,668,101,0.346,0.448,0.279,2,3,4,0
KCR,AL,1978,743,634,92,0.329,0.399,0.268,3,3,4,0
LAD,NL,1978,727,573,95,0.338,0.402,0.264,2,2,4,0
NYY,AL,1978,735,582,100,0.329,0.388,0.267,1,1,4,1
PHI,NL,1978,708,586,90,0.328,0.388,0.258,4,3,4,0
BAL,AL,1979,757,582,102,0.336,0.419,0.261,1,2,4,0
CAL,AL,1979,866,768,88,0.351,0.429,0.282,4,3,4,0
CIN,NL,1979,731,644,90,0.338,0.396,0.264,3,3,4,0
PIT,NL,1979,775,643,98,0.33,0.416,0.272,2,1,4,1
HOU,NL,1980,637,589,93,0.326,0.367,0.261,3,3,4,0
KCR,AL,1980,809,694,97,0.345,0.413,0.286,2,2,4,0
NYY,AL,1980,820,662,103,0.343,0.425,0.267,1,3,4,0
PHI,NL,1980,728,639,91,0.327,0.4,0.27,4,1,4,1
ATL,NL,1982,739,702,89,0.325,0.383,0.256,4,3,4,0
CAL,AL,1982,814,670,93,0.347,0.433,0.274,2,3,4,0
MIL,AL,1982,891,717,95,0.335,0.455,0.279,1,2,4,0
STL,NL,1982,685,609,92,0.334,0.364,0.264,3,1,4,1
BAL,AL,1983,799,652,98,0.34,0.421,0.269,2,1,4,1
CHW,AL,1983,800,650,99,0.329,0.413,0.262,1,3,4,0
LAD,NL,1983,654,609,91,0.318,0.379,0.25,3,3,4,0
PHI,NL,1983,696,635,90,0.329,0.373,0.249,4,2,4,0
CHC,NL,1984,762,658,96,0.331,0.397,0.26,2,3,4,0
DET,AL,1984,829,643,104,0.342,0.432,0.271,1,1,4,1
KCR,AL,1984,673,686,84,0.317,0.399,0.268,4,3,4,0
SDP,NL,1984,686,634,92,0.317,0.371,0.259,3,2,4,0
KCR,AL,1985,687,639,91,0.313,0.401,0.252,4,1,4,1
LAD,NL,1985,682,579,95,0.328,0.382,0.261,3,3,4,0
STL,NL,1985,747,572,101,0.335,0.379,0.264,1,2,4,0
TOR,AL,1985,759,588,99,0.331,0.425,0.269,2,3,4,0
BOS,AL,1986,794,696,95,0.346,0.415,0.271,3,2,4,0
CAL,AL,1986,786,684,92,0.338,0.404,0.255,4,3,4,0
HOU,NL,1986,654,569,96,0.322,0.381,0.255,2,3,4,0
NYM,NL,1986,783,578,108,0.339,0.401,0.263,1,1,4,1
DET,AL,1987,896,735,98,0.349,0.451,0.272,1,3,4,0
MIN,AL,1987,786,806,85,0.328,0.43,0.261,4,1,4,1
SFG,NL,1987,783,669,90,0.324,0.43,0.26,3,3,4,0
STL,NL,1987,798,693,95,0.34,0.378,0.263,2,2,4,0
BOS,AL,1988,813,689,89,0.357,0.42,0.283,4,3,4,0
LAD,NL,1988,628,544,94,0.305,0.352,0.248,3,1,4,1
NYM,NL,1988,703,532,100,0.325,0.396,0.256,2,3,4,0
OAK,AL,1988,800,620,104,0.336,0.399,0.263,1,2,4,0
CHC,NL,1989,702,623,93,0.319,0.387,0.261,2,3,4,0
OAK,AL,1989,712,576,99,0.331,0.381,0.261,1,1,4,1
SFG,NL,1989,699,600,92,0.316,0.39,0.25,3,2,4,0
TOR,AL,1989,731,651,89,0.323,0.398,0.26,4,3,4,0
