"V1","V2"
4019,4026
4023,4031
4023,4030
4027,4032
3988,4021
3982,3986
3994,3998
3998,3999
3993,3995
3982,4021
3982,4037
3997,4019
3994,4019
3992,4017
3981,3998
3997,4018
4009,4030
3994,4018
3995,4000
4000,4026
4027,4038
4031,4038
4000,4021
3986,4030
3985,4014
3994,4030
3998,4021
3994,4009
3982,4023
3998,4019
4020,4031
4009,4023
3994,3997
3981,4023
3997,4030
3997,4021
4023,4034
3993,4004
3994,3996
4000,4030
3998,4014
4004,4013
4016,4025
3990,4016
3999,4005
4004,4023
4002,4020
3998,4018
3985,3995
3989,3991
4000,4017
4003,4009
3982,4030
3982,3994
3998,4005
3995,4014
4021,4030
594,4011
3993,4030
4020,4030
3989,4038
3989,4011
4009,4019
4004,4020
3995,4026
4017,4026
3989,4013
4020,4037
3998,4002
3995,4023
3983,4017
3999,4036
3982,3997
3990,4007
3985,3988
4018,4030
4026,4030
3997,4023
3996,4028
3982,3988
3988,4030
4013,4023
4014,4021
4014,4037
3986,4021
4017,4021
3982,4009
3998,4023
3998,4009
594,3989
3992,4000
4011,4031
4019,4030
4020,4038
3997,3998
4023,4038
4004,4031
4027,4031
4014,4038
3986,4000
3982,4003
3986,4033
3981,3994
4004,4038
3985,3993
4000,4033
4013,4038
4018,4023
4003,4030
3990,4025
3986,4026
3996,4002
4001,4029
4014,4030
4020,4027
3982,3998
3988,3993
4002,4031
3988,3995
3986,4014
4003,4023
3981,4019
3997,4009
4014,4023
4004,4030
4006,4027
594,4031
4007,4025
3981,4018
3981,3997
3982,4026
4014,4017
3991,4031
3987,4012
4007,4016
3995,4004
4017,4030
4002,4023
3994,4023
3982,4014
3981,4009
4021,4026
4013,4031
3986,4017
4002,4027
3985,4004
