Letter,Xbox,Ybox,Width,Height,Onpix,Xbar,Ybar,X2bar,Y2bar,XYbar,X2Ybar,XY2bar,Xedge,XedgeYcor,Yedge,YedgeXcor
B,4,2,5,4,4,8,7,6,6,7,6,6,2,8,7,10
A,1,1,3,2,1,8,2,2,2,8,2,8,1,6,2,7
R,5,9,5,7,6,6,11,7,3,7,3,9,2,7,5,11
B,5,9,7,7,10,9,8,4,4,6,8,6,6,11,8,7
P,3,6,4,4,2,4,14,8,1,11,6,3,0,10,4,8
R,8,10,8,6,6,7,7,3,5,8,4,8,6,6,7,7
R,2,6,4,4,3,6,7,5,5,6,5,7,3,7,5,8
A,3,7,5,5,3,12,2,3,2,10,2,9,2,6,3,8
P,8,14,7,8,4,5,10,6,3,12,5,4,4,10,4,8
P,6,10,8,8,7,8,5,7,5,7,6,6,3,9,8,9
A,3,8,5,6,3,9,2,2,3,8,2,8,2,6,3,7
R,6,9,5,4,3,10,6,5,5,10,2,8,6,6,4,9
B,3,3,3,4,3,7,7,5,5,7,6,6,5,8,5,10
B,5,9,7,7,7,8,8,3,6,10,5,6,3,7,6,8
A,2,1,4,2,1,8,1,2,2,7,2,8,2,5,2,7
A,3,7,5,5,3,10,4,1,2,8,3,9,2,4,2,7
P,7,11,10,8,6,6,11,3,6,13,6,3,0,10,3,8
A,2,4,4,3,2,10,2,2,2,9,2,9,2,7,3,9
A,2,8,4,6,2,12,2,4,3,11,2,10,3,6,3,9
B,4,2,5,4,4,7,7,5,6,7,6,6,2,8,7,10
A,8,15,7,8,4,8,2,3,2,8,5,12,5,4,5,5
A,3,3,5,4,1,7,6,3,0,7,0,8,2,7,1,8
B,4,9,5,7,6,7,8,9,6,7,6,6,2,8,8,10
P,6,10,6,6,4,7,10,5,2,11,5,4,4,11,5,7
P,6,10,5,6,3,5,9,6,3,10,5,6,5,9,4,7
B,5,5,5,8,4,7,9,10,8,7,5,7,2,8,9,10
R,3,6,4,4,4,6,7,5,5,7,6,7,3,7,4,9
P,6,9,6,4,4,8,9,5,3,10,5,5,5,10,5,6
B,4,7,6,5,7,9,6,4,4,6,6,7,7,8,6,7
P,6,11,7,8,3,4,13,9,2,10,6,4,1,10,4,8
B,5,7,7,5,6,8,6,5,6,9,6,7,3,9,6,10
B,4,7,4,5,3,6,7,9,7,7,6,7,2,8,9,10
A,3,5,5,7,2,7,7,3,1,6,0,8,3,7,1,8
