StockSymbol,Industry,SubIndustry,Ret2000.01,Ret2000.02,Ret2000.03,Ret2000.04,Ret2000.05,Ret2000.06,ret2000.07,Ret2000.08,Ret2000.09,Ret2000.10,Ret2000.11,Ret2000.12,Ret2001.01,Ret2001.02,Ret2001.03,Ret2001.04,Ret2001.05,Ret2001.06,Ret2001.07,Ret2001.08,Ret2001.09,Ret2001.10,Ret2001.11,Ret2001.12,Ret2002.01,Ret2002.02,Ret2002.03,Ret2002.04,Ret2002.05,Ret2002.06,Ret2002.07,Ret2002.08,Ret2002.09,Ret2002.10,Ret2002.11,Ret2002.12,Ret2003.01,Ret2003.02,Ret2003.03,Ret2003.04,Ret2003.05,Ret2003.06,Ret2003.07,Ret2003.08,Ret2003.09,Ret2003.10,Ret2003.11,Ret2003.12,Ret2004.01,Ret2004.02,Ret2004.03,Ret2004.04,Ret2004.05,Ret2004.06,Ret2004.07,Ret2004.08,Ret2004.09,Ret2004.10,Ret2004.11,Ret2004.12,Ret2005.01,Ret2005.02,Ret2005.03,Ret2005.04,Ret2005.05,Ret2005.06,Ret2005.07,Ret2005.08,Ret2005.09,Ret2005.10,Ret2005.11,Ret2005.12,Ret2006.01,Ret2006.02,Ret2006.03,Ret2006.04,Ret2006.05,Ret2006.06,Ret2006.07,Ret2006.08,Ret2006.09,Ret2006.10,Ret2006.11,Ret2006.12,Ret2007.01,Ret2007.02,Ret2007.03,Ret2007.04,Ret2007.05,Ret2007.06,Ret2007.07,Ret2007.08,Ret2007.09,Ret2007.10,Ret2007.11,Ret2007.12,Ret2008.01,Ret2008.02,Ret2008.03,Ret2008.04,Ret2008.05,Ret2008.06,Ret2008.07,Ret2008.08,Ret2008.09,Ret2008.10,Ret2008.11,Ret2008.12,Ret2009.01,Ret2009.02,Ret2009.03,Ret2009.04,Ret2009.05,Ret2009.06,Ret2009.07,Ret2009.08,Ret2009.09,Ret2009.10,Ret2009.11,Ret2009.12
AAON,Industrial Goods,General Building Materials,0.080677966,0.06625,0.032941176,0.183098592,0.130333952,-0.017642342,-0.020517029,0.024675868,-0.020408163,-0.173317684,-0.025385313,-0.209562109,0.300169587,-0.140833333,0.022703273,-0.019101704,0.213513514,0.153333333,0.171875,0.01194426,-0.045602606,-0.110526316,0.223188406,0.197162427,-0.186363636,0.220432813,0.105714286,0.153479853,-0.056579784,-0.356530682,-0.084782609,0.065088757,-0.06,0.115682767,0.02189781,-0.055840164,-0.127693966,-0.11492817,-0.095441595,0.091706539,0.118978102,0.237140949,-0.054410988,-0.000551876,-0.093164278,0.134969325,0.000533618,0.103467879,-0.022085259,0.066595631,0.002471577,-0.015794669,-0.033299697,0.06039916,-0.097732997,-0.051926298,0,-0.151759954,0.083730429,0.005003127,-0.122424242,0.097647897,0.068831169,0.120858896,-0.027702336,-0.025781679,0.075630252,-0.057722309,0.024526198,-0.065725149,0.001176471,0.048680352,0.066666667,0.148031496,0.100322135,0.157939189,-0.144220183,0.109381755,-0.101192766,0.054663774,-0.069738989,0.014737755,0.186570336,-0.061428571,0.036199095,0.007985481,-0.050508721,-0.052127252,0.176633663,0.069150722,-0.065020319,-0.29376054,-0.058683206,-0.072625698,0.056635203,0.0415134,-0.101917255,-0.076621924,0.225076453,-0.11023622,0.164542936,-0.08460076,0.004756871,0.118910424,-0.166743014,-0.088446656,0.157446809,0.112413426,-0.144475921,-0.134411601,0.185088293,0.100564972,0.067761807,-0.04506232,-0.025832091,0.06097561,-0.03923445,-0.101297405,0.04180418,0.019884877
AAPL,Consumer Goods,Electronic Equipment,-0.010679889,0.102115385,0.145495951,-0.084428044,-0.327300392,-0.359266055,-0.025321312,0.211290002,-0.580003262,-0.267141251,-0.151234568,-0.124705882,0.452956989,-0.117931368,0.239191465,0.153915799,-0.214876033,0.154992548,-0.205160745,-0.024197791,-0.161621622,0.133634603,0.206798867,0.03988604,0.121088435,-0.108463435,0.079343365,0.038066724,-0.040757513,-0.242411287,-0.138339921,-0.023825281,0.000690131,0.101439342,-0.027603513,-0.098742138,0,0.041637752,-0.057961359,0.001408451,0.259649123,0.053038674,0.117117117,0.076666667,-0.085613416,0.105263158,-0.084099869,0.015684411,0.046867749,0.065004452,0.121991701,-0.041279286,0.079230769,0.170924793,0.007476636,0.106157793,0.129737609,0.339468303,0.277142857,-0.050007376,0.187094782,-0.417780662,-0.073794176,-0.143264433,0.098039216,-0.077212334,0.158023351,0.101479915,0.140638298,0.063330871,0.184835779,0.042639594,0.04324399,-0.086190794,-0.088901801,0.105544212,-0.155433093,-0.043107769,0.181502086,0.009372211,0.124123832,0.079627164,0.130209618,-0.075816993,-0.006489744,-0.018786965,0.105676544,0.060123221,0.216889246,0.00776218,0.088475836,0.036216702,0.096684293,0.228416219,-0.033828208,0.089189486,-0.32072063,-0.082354668,0.153166185,0.188995215,0.078818016,-0.112195122,-0.032150033,0.060225141,-0.340719258,-0.038688349,-0.125177004,-0.06516977,0.049487657,0.002356902,0.192918747,0.208857719,0.079570747,0.043672602,0.138606272,0.018158707,0.103339484,0.016994875,0.053266596,0.041979826
ABAX,Healthcare,Diagnostic Substances,0.047741935,0.035989717,0.039702233,-0.162352941,-0.147426982,0.048589342,-0.135384615,0.033391916,0,0.091695502,-0.059561129,-0.01980198,-0.083333333,-0.069090909,0.006,-0.048289738,0.256784969,-0.121666667,0,-0.052930057,-0.078059072,-0.042821159,0.178947368,0.312643678,0.097391304,0.064516129,-0.03030303,-0.016,-0.187296417,-0.119191919,-0.155452436,-0.113888889,0.034482759,0.246153846,0.049382716,-0.054892601,0.056300268,-0.07751938,0.061281337,0.086021505,0.355932203,0.191881919,0.121351767,0.198701299,0.494623656,0.238571429,0.156571429,-0.111056511,0.044529962,0.013859275,0.038323965,-0.13022113,0.097589653,0.03715847,-0.195174263,-0.005944518,-0.15078329,0.003881988,-0.016470588,0.146360759,-0.094793057,-0.179392142,-0.195454545,0.035986914,0.088541667,0.044145873,0.155555556,-0.083865815,0.145741879,0.318007663,-0.035465116,-0.003024803,0.211678832,0.103915663,0.022542831,0.135652174,-0.351802657,0.31510876,0.007555556,0.06518847,-0.025416667,-0.143832693,-0.043111992,-0.002590674,0.119751166,0.057977737,0.083111111,-0.064344262,0.003947368,-0.093831451,-0.133333333,0.072847682,0.157216495,0.300221729,0.120608108,0.07012832,-0.092556454,-0.06,-0.204873027,0.109272965,0.145808967,-0.175042735,-0.170416667,-0.005997001,-0.020387867,-0.216216216,-0.133333333,0.240712074,-0.013100437,-0.006984127,0.111540941,-0.119906868,0.162126246,0.161107971,0.304580897,0.001883239,0.014025777,-0.141782625,-0.024739583,0.134043498
ABCB,Financial,Regional,-0.074040219,-0.048169557,0.018218623,-0.024679171,-0.006036217,-0.025303644,-0.094,0.095290252,0.056680162,-0.096339114,-0.040511727,0.072,0.146055437,-0.010434783,0.016799293,-0.004444444,0.025,-0.028745645,0.119349005,0.082390953,0.018867925,-0.055555556,0.039215686,0.00754717,0,-0.014274981,0.114503817,0.087719298,-0.048387097,0.019863014,-0.026192075,-0.050526316,-0.053175775,-0.001560062,0.03515625,-0.021903323,0.073076923,0.011585807,-0.025622776,0.027757487,-0.00141844,-0.038644068,0.05819398,0.071609632,-0.081812831,0.06993007,-0.016949153,-0.053497942,0.148975791,0.006878307,0.003703704,0.017618793,0.032004197,0.033011681,-0.138083538,0.02484472,0.099182561,-0.001463415,0.025666338,0.006256015,-0.055710306,0.069651741,-0.227355901,0.01635514,0.025418833,0.022046354,0.09229929,-0.0725,0.039544962,0.003630705,0.052301255,-0.017821782,0.022908367,0.12195122,0.015720524,-0.030869565,-0.040540541,0.076779898,0.132326821,0.022966135,0.042129452,0.031411678,0,0.014764134,-0.089336158,-0.055169753,0.001636661,-0.066720911,0.015713662,-0.036862409,-0.209827357,0.108244532,-0.081300813,-0.065927978,0.017533253,-0.004137116,-0.057910448,-0.103969754,0.130985915,-0.07985258,-0.071571906,-0.371841155,0.244779582,0.111933395,0.219211823,-0.233865371,-0.132420091,0.297918949,-0.354675653,-0.392420538,-0.02484472,0.402569593,-0.039816233,-0.020155039,0.004651163,0.0078125,0.12244898,-0.170422535,0.105351171,0.06231454
ABFS,Services,Trucking,-0.031045752,-0.212677231,0.091476091,0.189338235,-0.153846154,-0.106115108,0.35530086,0.056842105,0.033602151,0.03626943,-0.085305106,0.162539683,0.111351351,-0.178518882,-0.076246334,0.247619048,0.113989637,0.082667919,0.223946785,-0.040794224,-0.227238806,0.130769231,0.037383178,0.180663662,0.039242685,-0.044531528,0.031168831,-0.128158845,0.029227557,0.046406571,-0.146428571,-0.053357866,0.255579869,0.046105484,-0.022415524,-0.114821124,-0.060535506,-0.032653061,0.069415229,-0.008603833,0.041666667,-0.115730337,0.17694598,-0.01896922,0.000728597,0.200941347,-0.057657658,-0.00600316,-0.096178344,-0.049721836,-0.033018868,-0.02886057,0.151445087,0.106554622,0.063241107,-0.015714286,0.061449275,0.06193969,0.090817101,0.038639519,-0.117530756,0.078343313,-0.132292145,-0.173958606,0.035838884,-0.031953743,0.078616352,-0.023775007,0.035640036,0.109012876,0.071168831,0.054308472,-0.016314338,-0.031461198,-0.059615385,0.089340102,-0.03916997,0.215444202,-0.115116511,0.003409091,-0.030419108,-0.047641181,-0.073349633,-0.04357067,0.046549836,0.028132326,-0.097715736,0.113623516,0.043731041,-0.060057887,-0.080398162,-0.007739082,-0.090250696,-0.159522352,-0.158981925,-0.035604396,0.418894009,-0.137273902,0.18131257,0.225325885,-0.057092109,-0.00704607,0.050933786,-0.066594769,-0.0477671,-0.12394958,-0.084482759,0.169320388,-0.234620419,-0.242608696,0.113583138,0.227006911,0.216356556,-0.075114075,0.069470522,0.112273361,-0.052831382,-0.127702703,-0.047582205,0.191980559
ABMD,Healthcare,Medical Appliances & Equipment,0.579800162,0.332252252,-0.405460951,-0.06,0.060732113,-0.215361061,0.274446938,0.538343949,0.127068167,-0.171428571,-0.195374525,0.054347826,-0.092882992,-0.050896955,-0.2528463,0.221374046,0.300787402,-0.050724638,-0.1942324,-0.025974026,-0.060752688,0.193849533,-0.145495495,-0.156266667,-0.077639752,-0.315172414,0.121212121,-0.367899008,0.037868163,0.152380952,-0.201447527,-0.20361991,-0.377358491,0.098591549,0.352459016,-0.272,0.308900524,-0.282945736,0.068493151,0.035897436,0.235148515,0.056,0.05046729,-0.038181818,0.701581028,0.034883721,-0.182222222,-0.052845528,0.107142857,-0.106080207,0.183526012,0.392204629,0.079545455,-0.001587302,-0.130434783,-0.061657033,-0.09137577,0.234460196,0.343362832,0.011795544,-0.251417769,-0.103852596,0.007619048,-0.05931418,-0.081372549,-0.096194503,0.13372093,0.032989691,0.013078471,-0.137,0.031877214,0.05,0.185064935,-0.03255814,0.239193084,-0.002314815,0.034749035,-0.021870287,0.041158537,0.104367135,-0.011371237,-0.041188386,-0.115087719,0.116389549,0.034458509,-0.05220339,-0.002191381,-0.062865497,-0.128125,-0.078632479,-0.047882136,0.197470817,0.012214984,0.095352564,-0.036009002,0.22555205,-0.007232084,-0.038978495,-0.072033898,0.120583717,0.020013803,0.148867314,0.012564249,0.018654607,-0.02739726,-0.167808219,-0.038356164,0.201170446,-0.180437424,-0.489122281,-0.267563528,0.378099174,-0.108108108,0.467554077,-0.154453213,0.096688742,0.175544794,-0.067971164,-0.073384447,0.021052632
ACAT,Consumer Goods,Recreational Vehicles,-0.006036217,0.024291498,0.01888668,-0.012757605,0.081488934,0.105116279,0.025963149,-0.033469388,0.068585944,0.011848341,-0.115919629,0.007805724,0.19760479,0.050660793,-0.04798331,-0.039647577,0.079545455,0.01754386,-0.02545211,0.106133701,-0.162732919,0.201780415,0.048857868,0.036585366,0.055882353,0.008474576,0.122562674,0.005690636,0.05,-0.128822055,-0.147701149,0.008091706,-0.068712475,0.020216606,0.097142857,0.013941698,0.011242973,-0.110353379,0.040666667,0.196569921,0.048565121,-0.001052078,0.128556375,0.010864431,-0.113075849,0.184542587,0.032003507,0.020467836,0.035510204,0,-0.023846154,-0.038072094,-0.051049815,0.18612667,-0.00440367,-0.025373134,-0.006508423,-0.016836335,0.08887077,-0.008598131,-0.057270361,0.065670468,-0.011687363,-0.134186472,-0.096989967,-0.065118397,0.054615756,-0.01416819,-0.044206608,-0.086786933,0.126140633,-0.061739944,0.163092269,0.036717063,-0.005374122,-0.096491228,-0.157943067,0.063794984,-0.087293388,-0.056721497,-0.006582885,0.078915663,-0.082548476,0.059000602,0.043552036,0.003241491,0.051807879,-0.092299847,0.076490439,0.030176899,-0.090817863,-0.066777042,-0.027926322,-0.116962645,-0.254888268,0.123236124,-0.23679868,-0.187969925,-0.039525692,0.016085791,0.040789474,-0.002541296,0.133757962,0.146503885,-0.124401914,-0.165198238,-0.201846966,-0.183986371,-0.155511811,-0.220720721,0.110144928,0.058201058,0.0025,0,0.520987654,0.16097561,0.004267425,-0.152639087,0.101141925,0.34114202
ACCL,Technology,Application Software,0.67918692,0.793885082,-0.289855072,-0.156512821,-0.480534989,1.090130689,-0.131396357,0.05509434,-0.393723252,-0.348214286,0.168648649,-0.014014467,0.270738377,-0.287283032,-0.117037037,0.090604027,0.015228426,0.20240481,-0.228365385,0.087774295,-0.255172414,0.221020093,-0.057777778,-0.051877133,-0.048869438,-0.020618557,0.078606159,-0.127819549,-0.042918455,-0.23471223,-0.214617169,0.172262774,0.1075,0.103954802,0.02244898,-0.110667996,-0.279427943,-0.016393443,0.330804249,0.020618557,0.197488584,-0.195121951,0.381818182,0.088888889,0.007936508,-0.034910784,0.004823151,0.165438165,0.337146703,-0.042239686,0.049009385,-0.132978723,-0.246037736,-0.019880716,-0.243538767,-0.205921938,0.145869947,-0.124620061,0.088695652,0.211180124,-0.275862069,-0.072916667,0.096118299,-0.152459016,0.007633588,-0.069548872,0.113590264,-0.016363636,0.251851852,-0.029673591,0.223564955,-0.024301337,-0.141414141,-0.092240117,0.165064103,-0.038251366,0.024285714,-0.009722222,-0.12342216,-0.093904448,0.143636364,-0.003164557,-0.047169811,0.010084034,0.076271186,0.006329114,0.027375201,0.036565978,-0.015384615,0,0.026194145,-0.076103501,0.135986733,0.129360465,0.036129032,-0.064596273,-0.136,-0.093896714,-0.058419244,0.030909091,0.164285714,-0.258064516,0.162162162,-0.070652174,0.045714286,-0.121100917,-0.185803758,0.159574468,-0.135011442,-0.048257373,0.137142857,0.150895141,0.042222222,0.260127932,0.003344482,-0.043333333,0.015761821,-0.055652174,-0.03853211,0.089353612
ACET,Basic Materials,Chemicals,-0.04,-0.068181818,-0.12195122,0.181818182,0.076923077,0.023255814,-0.087941976,-0.012,-0.013157895,0,0.027382256,-0.027027027,-0.028153153,0.028968714,0,-0.028571429,0.126927639,0.04375,-0.025,0,-0.021190716,0.03909465,-0.061204344,0.113490364,-0.072115385,-0.017034068,0.17755102,-0.001737619,-0.041775457,-0.030909091,-0.048780488,0.223555071,-0.185053381,0.038918919,0.769230769,-0.074202899,-0.359952324,0.124137931,0.175068744,0.313513514,0.083677077,0.005390836,0.054054054,-0.025128205,-0.254111406,0.134782609,0.226175349,0.335075797,-0.374609375,-0.083125,0.048731642,-0.12866242,0.173849525,0.066666667,-0.07713964,-0.053604436,-0.073954984,0.110641297,0.093951094,0.101449275,-0.501590668,-0.039699571,-0.168161435,-0.105960265,0.081845238,0.019073569,0.075268817,-0.082397004,-0.214965986,0.020797227,0.015228426,0.096666667,0.104294479,0.029166667,-0.009408602,0.091530055,-0.042553191,-0.093053735,-0.005730659,0.039823009,0.011494253,0.242553191,-0.022962113,0.015276146,0.087658593,-0.111702128,-0.048192771,0.03562341,0.113636364,0.055936073,-0.014054054,-0.04290429,0.036866359,-0.026578073,-0.094857143,0.006289308,-0.136828645,0.030882353,-0.008571429,0.015895954,0.132374101,-0.021766965,0.009395973,0.137150466,0.10867052,-0.119198312,0.057416268,0.151898734,-0.109561753,-0.317100793,0.01188455,0.220136519,-0.148251748,0.075806452,0.053973013,-0.05106383,-0.006006006,-0.159332322,-0.061261261,-0.024621212
ACGL,Financial,Property & Casualty Insurance,0.152088258,0.051724138,0.100874243,-0.067272727,0,0.004032258,0.033333333,-0.02,0.032786885,-0.015873016,-0.032258065,-0.003984064,0.037634409,0.053324556,0.016645327,-0.01674938,0.056782334,-0.059701493,0.090614887,0.050445104,-0.069444444,0.394658754,-0.006302521,0.090177815,0.005120126,0.043849437,-0.040520446,0.131885182,0.008488964,-0.053463349,-0.042643923,0.04320298,0.000358551,0.003942652,0.080357143,0.027356625,-0.00618691,0.011977986,0.085385353,0.022359518,0.071221772,-0.062702703,-0.011242433,-0.005847953,-0.03077374,0.103385732,0.014827018,0.073236403,0.099824429,-0.035478736,-0.005903188,-0.052606747,-0.043045534,0.031023785,-0.035812672,-0.051567764,0.063643813,-0.033941887,0.036179835,-0.006418485,-0.045974026,0.124423963,-0.031446541,-0.002743142,0.11541344,0.006029477,0.01792432,-0.043372963,0.152987677,-0.000201979,0.05979798,0.039096603,-0.015401341,0.037798165,0.019240953,0.052494802,-0.053742169,0.031038668,0.019259755,-0.020377979,0.06206089,0.012440945,0.035819507,0.013491231,-0.043960924,-0.000929512,0.061799502,0.065087026,-0.009779614,0.009041591,-0.043394672,0.025410421,0.034334167,0.009859535,-0.062852538,0.013250756,0.005852962,-0.024084367,0.001604434,0.024804178,-0.006355035,-0.061022229,0.052846142,0.004174464,0.037652742,-0.038063715,-0.041430995,0.064864044,-0.140714286,-0.109204883,0.016226415,0.079798169,-0.009068713,0.050762332,0.048735245,0.042857143,0.039076923,0.002380598,0.037861915,0.01546977
