"Male","RaceWhite","Age","State","TimeServed","MaxSentence","MultipleOffenses","Crime","Violator"
1,1,33.2,"Other",5.5,18,0,"Driving",0
0,1,39.7,"Other",5.4,12,0,"Drugs",0
1,0,29.5,"Other",5.6,12,0,"Drugs",0
1,1,22.4,"Other",5.7,18,0,"Other",0
1,0,21.6,"Other",5.4,12,0,"Other",0
1,0,46.7,"Other",6,18,0,"Driving",0
1,1,31,"Other",6,18,0,"Drugs",0
0,1,24.6,"Other",4.8,12,0,"Other",0
0,1,32.6,"Other",4.5,13,0,"Drugs",0
1,0,29.1,"Other",4.7,12,0,"Larceny",0
0,0,28.4,"Other",4.5,12,1,"Other",0
1,1,20.5,"Other",5.9,12,0,"Other",0
1,1,30.1,"Other",5.3,16,0,"Drugs",0
1,1,37.8,"Other",5.3,8,0,"Drugs",0
1,1,41.7,"Other",5.5,8,0,"Drugs",0
1,0,43.5,"Other",5.2,8,0,"Other",0
1,1,42.3,"Other",4.8,16,0,"Drugs",0
1,1,21.3,"Other",5.1,8,0,"Other",0
1,0,24.5,"Other",6,16,0,"Drugs",0
1,1,42.3,"Other",5.8,16,0,"Other",0
1,1,31.6,"Other",4.9,8,0,"Other",0
1,0,35.4,"Other",5.3,8,0,"Drugs",0
1,1,41.9,"Other",5.1,16,0,"Drugs",0
1,1,38.9,"Other",5.2,16,0,"Drugs",0
1,0,23,"Other",5.3,8,0,"Other",0
1,1,29.5,"Other",3.9,16,0,"Other",1
1,1,32.8,"Other",5.9,16,0,"Drugs",0
1,0,32.4,"Other",5.1,8,0,"Other",0
1,1,29.7,"Other",5.8,8,0,"Larceny",0
1,1,28.7,"Other",6,8,0,"Other",0
1,1,50.2,"Other",6,8,0,"Other",0
1,1,25.9,"Other",0.5,16,0,"Other",0
1,0,49.9,"Other",4.7,16,0,"Other",0
1,1,47.1,"Other",5.4,13,0,"Other",0
1,1,36.7,"Other",0.9,16,0,"Drugs",0
1,1,37.2,"Other",2,16,0,"Other",1
1,1,23.2,"Other",0.9,16,0,"Other",0
1,1,31.4,"Other",0.7,16,0,"Other",0
1,1,39.1,"Other",0,16,0,"Drugs",0
0,1,50.6,"Other",3,12,0,"Other",0
0,1,36.3,"Other",5.2,16,0,"Larceny",0
1,1,29.9,"Other",4.8,12,1,"Other",1
1,1,27.5,"Other",3.8,12,1,"Drugs",1
1,1,28.1,"Other",4.2,12,1,"Larceny",0
1,1,34.2,"Other",4.4,12,1,"Other",1
1,0,36.5,"Other",3.9,12,1,"Driving",1
1,1,33.5,"Other",4.2,12,1,"Other",1
1,1,55,"Other",4.2,12,1,"Driving",0
1,1,31.2,"Other",5.2,15,1,"Driving",0
1,1,39.6,"Other",4.7,13,1,"Driving",0
1,1,37.3,"Other",4.6,12,1,"Other",1
1,1,21.1,"Other",4.9,12,1,"Other",0
1,1,34.9,"Other",4.5,12,1,"Driving",1
1,1,24.9,"Other",0.1,18,1,"Other",0
0,1,61.6,"Other",4.5,12,1,"Other",0
1,1,48,"Other",5.2,12,1,"Other",0
1,1,41.7,"Other",4.4,12,1,"Other",1
1,1,21.4,"Other",4.3,12,1,"Other",0
1,1,54.5,"Other",4.1,12,1,"Other",0
1,0,38.8,"Other",3.7,12,1,"Other",0
1,1,20.2,"Other",2.1,12,1,"Other",0
1,1,41.4,"Other",4.1,12,1,"Other",1
1,1,48.2,"Other",5.3,12,1,"Larceny",1
1,1,32.2,"Other",4.9,12,1,"Other",1
1,1,33.7,"Other",0.2,12,1,"Other",0
0,1,39.7,"Other",4.4,12,1,"Drugs",1
1,1,35,"Other",1.2,18,1,"Other",0
1,0,57.5,"Kentucky",5.9,12,0,"Other",0
1,0,57.5,"Kentucky",5.9,12,0,"Other",0
0,1,42.4,"Kentucky",3.6,12,0,"Drugs",0
0,1,25.3,"Kentucky",4.8,12,0,"Larceny",0
0,1,37.5,"Kentucky",4.8,12,0,"Other",0
0,1,22.3,"Kentucky",4,12,0,"Larceny",0
0,0,40.1,"Kentucky",5.2,12,0,"Other",0
0,0,40.3,"Kentucky",5.9,12,1,"Drugs",0
0,1,33.2,"Kentucky",4.8,12,0,"Other",0
0,1,33.2,"Kentucky",4.8,12,0,"Other",0
0,1,43.5,"Kentucky",2.5,12,0,"Drugs",0
0,1,43.6,"Kentucky",3.8,12,0,"Drugs",0
0,1,43.6,"Kentucky",3.8,12,0,"Drugs",0
