State,Rasmussen,SurveyUSA,DiffCount,PropR,Republican
alabama,,,,,1
alaska,,,,,1
arizona,8,,4,0.833333333,1
arkansas,,,2,1,1
california,,-14,-6,0,0
colorado,3,-2,-5,0.307692308,0
connecticut,-7,-13,-8,0,0
delaware,,,,,0
florida,2,0,6,0.666666667,0
georgia,,8,4,1,1
hawaii,,,-2,0,0
idaho,,,1,1,1
illinois,,,-5,0,0
indiana,9,,3,1,1
iowa,1,,-2,0.4,0
kansas,,9,1,1,1
kentucky,,14,1,1,1
louisiana,,,2,1,1
maine,-12,,-6,0,0
maryland,,,-4,0,0
massachusetts,-19,,-8,0,0
michigan,-5,,-10,0.083333333,0
minnesota,-5,-11,-5,0.142857143,0
mississippi,,,1,1,1
missouri,11,7,8,1,1
montana,10,,5,1,1
nebraska,,,2,1,1
nevada,-2,-4,-10,0,0
new hampshire,-2,,-8,0,0
new jersey,,-14,-9,0,0
new mexico,-11,,-5,0,0
new york,,-29,-5,0,0
north carolina,6,5,3,0.666666667,1
north dakota,14,,4,1,1
ohio,0,-5,-16,0,0
oklahoma,,,1,1,1
oregon,,-7,-4,0,0
pennsylvania,-5,0,-13,0,0
rhode island,,,-2,0,0
south carolina,,,1,1,1
south dakota,,,1,1,1
tennessee,,,1,1,1
texas,,,4,1,1
utah,,,1,1,1
vermont,,,,,0
virginia,2,,-4,0.333333333,0
washington,-13,-14,-8,0,0
west virginia,,,1,1,1
wisconsin,0,,-8,0,0
wyoming,,,,,1
