Population,Income,Illiteracy,LifeExp,Murder,HighSchoolGrad,Frost,Area,Longitude,Latitude,Region
3615,3624,2.1,69.05,15.1,41.3,20,50708,-86.7509,32.5901,South
365,6315,1.5,69.31,11.3,66.7,152,566432,-127.25,49.25,West
2212,4530,1.8,70.55,7.8,58.1,15,113417,-111.625,34.2192,West
2110,3378,1.9,70.66,10.1,39.9,65,51945,-92.2992,34.7336,South
21198,5114,1.1,71.71,10.3,62.6,20,156361,-119.773,36.5341,West
2541,4884,0.7,72.06,6.8,63.9,166,103766,-105.513,38.6777,West
3100,5348,1.1,72.48,3.1,56,139,4862,-72.3573,41.5928,Northeast
579,4809,0.9,70.06,6.2,54.6,103,1982,-74.9841,38.6777,South
8277,4815,1.3,70.66,10.7,52.6,11,54090,-81.685,27.8744,South
4931,4091,2,68.54,13.9,40.6,60,58073,-83.3736,32.3329,South
868,4963,1.9,73.6,6.2,61.9,0,6425,-126.25,31.75,West
813,4119,0.6,71.87,5.3,59.5,126,82677,-113.93,43.5648,West
11197,5107,0.9,70.14,10.3,52.6,127,55748,-89.3776,40.0495,North Central
5313,4458,0.7,70.88,7.1,52.9,122,36097,-86.0808,40.0495,North Central
2861,4628,0.5,72.56,2.3,59,140,55941,-93.3714,41.9358,North Central
2280,4669,0.6,72.58,4.5,59.9,114,81787,-98.1156,38.4204,North Central
3387,3712,1.6,70.1,10.6,38.5,95,39650,-84.7674,37.3915,South
3806,3545,2.8,68.76,13.2,42.2,12,44930,-92.2724,30.6181,South
1058,3694,0.7,70.39,2.7,54.7,161,30920,-68.9801,45.6226,Northeast
4122,5299,0.9,70.22,8.5,52.3,101,9891,-76.6459,39.2778,South
5814,4755,1.1,71.83,3.3,58.5,103,7826,-71.58,42.3645,Northeast
9111,4751,0.9,70.63,11.1,52.8,125,56817,-84.687,43.1361,North Central
3921,4675,0.6,72.96,2.3,57.6,160,79289,-94.6043,46.3943,North Central
2341,3098,2.4,68.09,12.5,41,50,47296,-89.8065,32.6758,South
4767,4254,0.8,70.69,9.3,48.8,108,68995,-92.5137,38.3347,North Central
746,4347,0.6,70.56,5,59.2,155,145587,-109.32,46.823,West
1544,4508,0.6,72.6,2.9,59.3,139,76483,-99.5898,41.3356,North Central
590,5149,0.5,69.03,11.5,65.2,188,109889,-116.851,39.1063,West
812,4281,0.7,71.23,3.3,57.6,174,9027,-71.3924,43.3934,Northeast
7333,5237,1.1,70.93,5.2,52.5,115,7521,-74.2336,39.9637,Northeast
1144,3601,2.2,70.32,9.7,55.2,120,121412,-105.942,34.4764,West
18076,4903,1.4,70.55,10.9,52.7,82,47831,-75.1449,43.1361,Northeast
5441,3875,1.8,69.21,11.1,38.5,80,48798,-78.4686,35.4195,South
637,5087,0.8,72.78,1.4,50.3,186,69273,-100.099,47.2517,North Central
10735,4561,0.8,70.82,7.4,53.2,124,40975,-82.5963,40.221,North Central
2715,3983,1.1,71.42,6.4,51.6,82,68782,-97.1239,35.5053,South
2284,4660,0.6,72.13,4.2,60,44,96184,-120.068,43.9078,West
11860,4449,1,70.43,6.1,50.2,126,44966,-77.45,40.9069,Northeast
931,4558,1.3,71.9,2.4,46.4,127,1049,-71.1244,41.5928,Northeast
2816,3635,2.3,67.96,11.6,37.8,65,30225,-80.5056,33.619,South
681,4167,0.5,72.08,1.7,53.3,172,75955,-99.7238,44.3365,North Central
4173,3821,1.7,70.11,11,41.8,70,41328,-86.456,35.6767,South
12237,4188,2.2,70.9,12.2,47.4,35,262134,-98.7857,31.3897,South
1203,4022,0.6,72.9,4.5,67.3,137,82096,-111.33,39.1063,West
472,3907,0.6,71.64,5.5,57.1,168,9267,-72.545,44.2508,Northeast
4981,4701,1.4,70.08,9.5,47.8,85,39780,-78.2005,37.563,South
3559,4864,0.6,71.72,4.3,63.5,32,66570,-119.746,47.4231,West
1799,3617,1.4,69.48,6.7,41.6,100,24070,-80.6665,38.4204,South
4589,4468,0.7,72.48,3,54.5,149,54464,-89.9941,44.5937,North Central
376,4566,0.6,70.29,6.9,62.9,173,97203,-107.256,43.0504,West
