Docket,Term,Circuit,Issue,Petitioner,Respondent,LowerCourt,Unconst,Reverse
93-1408,1994,2nd,EconomicActivity,BUSINESS,BUSINESS,liberal,0,1
93-1577,1994,9th,EconomicActivity,BUSINESS,BUSINESS,liberal,0,1
93-1612,1994,5th,EconomicActivity,BUSINESS,BUSINESS,liberal,0,1
94-623,1994,1st,EconomicActivity,BUSINESS,BUSINESS,conser,0,1
94-1175,1995,7th,JudicialPower,BUSINESS,BUSINESS,conser,0,1
95-129,1995,9th,EconomicActivity,BUSINESS,BUSINESS,conser,1,0
95-728,1996,FED,EconomicActivity,BUSINESS,BUSINESS,conser,0,1
96-1768,1997,9th,EconomicActivity,BUSINESS,BUSINESS,conser,1,1
96-843,1997,DC,EconomicActivity,BUSINESS,BUSINESS,conser,0,1
98-1480,1999,11th,CriminalProcedure,BUSINESS,BUSINESS,conser,0,1
99-150,1999,2nd,EconomicActivity,BUSINESS,BUSINESS,conser,0,1
99-1571,2000,6th,EconomicActivity,BUSINESS,BUSINESS,conser,1,1
99-2035,2000,9th,DueProcess,BUSINESS,BUSINESS,liberal,1,1
94-788,1994,7th,EconomicActivity,CITY,BUSINESS,liberal,0,0
98-1161,1999,3rd,FederalismAndInterstateRelations,CITY,BUSINESS,liberal,0,0
96-491,1996,9th,EconomicActivity,EMPLOYEE,BUSINESS,conser,0,1
97-1943,1998,10th,CivilRights,EMPLOYEE,BUSINESS,conser,0,1
98-208,1998,DC,EconomicActivity,EMPLOYEE,BUSINESS,conser,0,1
00-1853,2001,2nd,CivilRights,EMPLOYEE,BUSINESS,conser,0,1
95-1872,1996,8th,CivilRights,AMERICAN.INDIAN,BUSINESS,conser,0,0
97-1704,1998,5th,JudicialPower,INJURED.PERSON,BUSINESS,liberal,1,0
97-53,1998,6th,JudicialPower,INJURED.PERSON,BUSINESS,conser,0,1
98-1811,1999,DC,FederalismAndInterstateRelations,INJURED.PERSON,BUSINESS,liberal,0,1
99-161,1999,8th,JudicialPower,INJURED.PERSON,BUSINESS,conser,1,0
94-1244,1995,9th,JudicialPower,GOVERNMENT.OFFICIAL,BUSINESS,conser,0,0
95-244,1995,9th,JudicialPower,GOVERNMENT.OFFICIAL,BUSINESS,liberal,0,0
97-930,1998,10th,FirstAmendment,GOVERNMENT.OFFICIAL,BUSINESS,liberal,0,0
00-152,2000,9th,JudicialPower,GOVERNMENT.OFFICIAL,BUSINESS,liberal,0,1
99-1792,2000,8th,EconomicActivity,GOVERNMENT.OFFICIAL,BUSINESS,conser,0,1
93-1251,1994,6th,JudicialPower,OTHER,BUSINESS,liberal,0,1
93-1318,1994,9th,FederalTaxation,OTHER,BUSINESS,liberal,0,1
93-1631,1994,10th,FirstAmendment,OTHER,BUSINESS,liberal,0,0
93-1677,1994,8th,EconomicActivity,OTHER,BUSINESS,conser,0,1
94-18,1994,7th,EconomicActivity,OTHER,BUSINESS,conser,0,1
94-1592,1995,7th,Unions,OTHER,BUSINESS,conser,0,0
94-1654,1995,10th,EconomicActivity,OTHER,BUSINESS,liberal,0,0
95-26,1995,FED,EconomicActivity,OTHER,BUSINESS,conser,1,0
95-83,1995,9th,JudicialPower,OTHER,BUSINESS,liberal,0,1
95-860,1995,9th,EconomicActivity,OTHER,BUSINESS,conser,0,0
95-1065,1996,2nd,FirstAmendment,OTHER,BUSINESS,liberal,1,0
95-1184,1996,9th,FirstAmendment,OTHER,BUSINESS,liberal,0,1
95-1521,1996,DC,JudicialPower,OTHER,BUSINESS,liberal,0,1
95-1764,1996,9th,EconomicActivity,OTHER,BUSINESS,conser,0,1
95-1873,1996,11th,DueProcess,OTHER,BUSINESS,conser,1,0
95-789,1996,9th,JudicialPower,OTHER,BUSINESS,conser,0,1
96-511,1996,3rd,FirstAmendment,OTHER,BUSINESS,liberal,0,0
96-1470,1997,9th,EconomicActivity,OTHER,BUSINESS,conser,0,1
96-1578,1997,5th,JudicialPower,OTHER,BUSINESS,conser,0,1
96-1971,1997,5th,CriminalProcedure,OTHER,BUSINESS,liberal,1,1
96-871,1997,7th,EconomicActivity,OTHER,BUSINESS,conser,0,1
97-5310,1997,11th,EconomicActivity,OTHER,BUSINESS,conser,0,0
97-704,1997,DC,JudicialPower,OTHER,BUSINESS,conser,0,0
97-1130,1998,FED,EconomicActivity,OTHER,BUSINESS,liberal,0,0
97-1536,1998,9th,CivilRights,OTHER,BUSINESS,liberal,0,1
97-1642,1998,9th,EconomicActivity,OTHER,BUSINESS,liberal,0,1
98-470,1998,5th,JudicialPower,OTHER,BUSINESS,conser,0,1
98-531,1998,FED,EconomicActivity,OTHER,BUSINESS,liberal,1,0
98-1109,1999,7th,JudicialPower,OTHER,BUSINESS,liberal,0,0
98-1152,1999,4th,EconomicActivity,OTHER,BUSINESS,conser,0,1
99-579,1999,7th,EconomicActivity,OTHER,BUSINESS,conser,0,1
00-276,2000,6th,EconomicActivity,OTHER,BUSINESS,liberal,0,0
00-347,2000,10th,EconomicActivity,OTHER,BUSINESS,liberal,0,0
99-1257,2000,DC,EconomicActivity,OTHER,BUSINESS,conser,0,1
99-1551,2000,4th,JudicialPower,OTHER,BUSINESS,conser,0,1
99-1815,2000,6th,JudicialPower,OTHER,BUSINESS,conser,0,1
99-1871,2000,9th,Privacy,OTHER,BUSINESS,conser,0,0
99-901,2000,6th,JudicialPower,OTHER,BUSINESS,conser,0,1
00-1307,2001,4th,CivilRights,OTHER,BUSINESS,conser,0,1
00-927,2001,5th,Unions,OTHER,BUSINESS,conser,0,1
95-1918,1996,8th,JudicialPower,STATE,BUSINESS,liberal,0,1
93-723,1994,9th,JudicialPower,US,BUSINESS,liberal,0,0
94-251,1994,9th,FederalismAndInterstateRelations,US,BUSINESS,liberal,0,1
94-1893,1995,4th,FirstAmendment,US,BUSINESS,liberal,0,1
95-865,1995,FED,JudicialPower,US,BUSINESS,liberal,0,0
97-454,1997,6th,EconomicActivity,US,BUSINESS,conser,0,1
97-2044,1998,FED,FederalismAndInterstateRelations,US,BUSINESS,liberal,0,1
98-131,1998,DC,EconomicActivity,US,BUSINESS,conser,0,0
98-1682,1999,3rd,EconomicActivity,US,BUSINESS,liberal,0,0
00-151,2000,9th,CriminalProcedure,US,BUSINESS,liberal,0,1
99-1434,2000,FED,FederalismAndInterstateRelations,US,BUSINESS,liberal,0,0
95-191,1995,7th,FirstAmendment,BUSINESS,CITY,conser,1,1
99-1680,2000,FED,FirstAmendment,BUSINESS,CITY,conser,1,0
00-1249,2001,7th,FirstAmendment,BUSINESS,CITY,conser,1,0
95-897,1996,8th,Unions,EMPLOYEE,CITY,conser,0,0
96-957,1997,11th,DueProcess,INJURED.PERSON,CITY,conser,0,1
97-501,1997,7th,CriminalProcedure,INJURED.PERSON,CITY,conser,1,0
94-1988,1996,1st,FederalismAndInterstateRelations,OTHER,CITY,conser,1,1
99-936,2000,4th,CriminalProcedure,OTHER,CITY,conser,1,1
94-1614,1995,2nd,JudicialPower,STATE,CITY,liberal,0,1
00-860,2001,2nd,JudicialPower,BUSINESS,CRIMINAL.DEFENDENT,liberal,0,0
97-1121,1998,7th,DueProcess,CITY,CRIMINAL.DEFENDENT,liberal,0,0
96-318,1996,6th,EconomicActivity,EMPLOYEE,CRIMINAL.DEFENDENT,liberal,0,0
95-1352,1996,9th,DueProcess,GOVERNMENT.OFFICIAL,CRIMINAL.DEFENDENT,liberal,0,1
