State,Rate2005,Rate2009,Rate2013
alabama,3.8,9.7,6.5
alaska,6.9,7.7,6.5
arizona,4.7,9.8,8
arkansas,5.1,7.5,7.5
california,5.4,11.3,8.9
colorado,5.1,8.1,6.8
connecticut,4.9,8.2,7.8
delaware,4,7.9,6.7
district of columbia,6.5,9.7,8.3
florida,3.8,10.4,7.2
georgia,5.2,9.7,8.2
hawaii,2.8,6.8,4.8
idaho,3.7,7.4,6.2
illinois,5.8,10,9.2
indiana,5.4,10.3,7.5
iowa,4.3,6.3,4.6
kansas,5.1,7.1,5.4
kentucky,6,10.3,8.3
louisiana,6.7,6.6,6.2
maine,4.9,8.1,6.7
maryland,4.1,7.4,6.6
massachusetts,4.8,8.2,7.1
michigan,6.8,13.5,8.8
minnesota,4.2,8,5.1
mississippi,7.8,9.5,8.6
missouri,5.4,9.4,6.5
montana,3.6,6,5.6
nebraska,3.9,4.7,3.9
nevada,4.5,11.7,9.8
new hampshire,3.6,6.2,5.3
new jersey,4.5,9,8.2
new mexico,5.2,6.9,6.9
new york,5,8.3,7.7
north carolina,5.3,10.4,8
north dakota,3.4,4.1,2.9
ohio,5.9,10.2,7.4
oklahoma,4.5,6.7,5.4
oregon,6.2,11.1,7.7
pennsylvania,5,7.9,7.4
rhode island,5.1,10.9,9.5
south carolina,6.8,11.4,7.6
south dakota,3.7,5.2,3.8
tennessee,5.6,10.6,8.2
texas,5.4,7.5,6.3
utah,4.1,7.8,4.4
vermont,3.5,6.9,4.4
virginia,3.5,7,5.5
washington,5.5,9.3,7
west virginia,4.9,7.6,6.5
wisconsin,4.8,8.7,6.7
wyoming,3.7,6.3,4.6
