ID,Gender,School,Locale
3981,A,A,B
3982,B,,B
3983,B,,B
3984,B,,B
3985,B,,B
3986,B,A,B
3987,A,,A
3988,B,,B
3989,B,A,B
3990,A,,A
3991,B,A,B
3992,A,A,B
3993,B,,
3994,A,,B
3995,B,,B
594,B,A,B
3996,B,,B
3997,B,,B
3998,B,,B
3999,B,AB,B
4000,B,,B
4001,,,B
4002,B,A,B
4003,B,,
4004,B,,B
4005,B,A,B
4006,B,,B
4007,B,,A
4008,B,,B
4009,B,,B
4010,B,A,B
4011,B,,B
4012,A,,B
4013,A,,B
4014,B,,B
4015,B,,A
4016,B,,A
4017,B,,B
4018,A,A,B
4019,B,A,B
4020,,A,B
4021,B,A,B
4022,A,,B
4023,B,A,B
4024,A,,B
4025,A,,A
4026,B,,B
4027,B,,B
4028,B,A,B
4029,A,,B
4030,B,,B
4031,B,A,B
4032,B,,B
4033,A,,B
4034,B,A,B
4035,A,,B
4036,A,AB,B
4037,B,,
4038,B,,B
