Country,Region,Population,Under15,Over60,FertilityRate,LifeExpectancy,CellularSubscribers,LiteracyRate,GNI
Afghanistan,Eastern Mediterranean,29825,47.42,3.82,"
5.4
",60,54.26,,"
1140
"
Albania,Europe,3162,21.33,14.93,"
1.75
",74,96.39,,"
8820
"
Algeria,Africa,38482,27.42,7.17,"
2.83
",73,98.99,,"
8310
"
Andorra,Europe,78,15.2,22.86,,82,75.49,,
Angola,Africa,20821,47.58,3.84,"
6.1
",51,48.38,"
70.1
","
5230
"
Antigua and Barbuda,Americas,89,25.96,12.35,"
2.12
",75,196.41,"
99.0
","
17900
"
Argentina,Americas,41087,24.42,14.97,"
2.2
",76,134.92,"
97.8
","
17130
"
Armenia,Europe,2969,20.34,14.06,"
1.74
",71,103.57,"
99.6
","
6100
"
Australia,Western Pacific,23050,18.95,19.46,"
1.89
",82,108.34,,"
38110
"
Austria,Europe,8464,14.51,23.52,"
1.44
",81,154.78,,"
42050
"
Azerbaijan,Europe,9309,22.25,8.24,"
1.96
",71,108.75,,"
8960
"
Bahamas,Americas,372,21.62,11.24,"
1.9
",75,86.06,,
Bahrain,Eastern Mediterranean,1318,20.16,3.38,"
2.12
",79,127.96,"
91.9
",
Bangladesh,South-East Asia,155000,30.57,6.89,"
2.24
",70,56.06,"
56.8
","
1940
"
Barbados,Americas,283,18.99,15.78,"
1.84
",78,127.01,,
Belarus,Europe,9405,15.1,19.31,"
1.47
",71,111.88,,"
14460
"
Belgium,Europe,11060,16.88,23.81,"
1.85
",80,116.61,,"
39190
"
Belize,Americas,324,34.4,5.74,"
2.76
",74,69.96,,"
6090
"
Benin,Africa,10051,42.95,4.54,"
5.01
",57,85.33,"
42.4
","
1620
"
Bhutan,South-East Asia,742,28.53,6.9,"
2.32
",67,65.58,,"
5570
"
Bolivia (Plurinational State of),Americas,10496,35.23,7.28,"
3.31
",67,82.82,,"
4890
"
Bosnia and Herzegovina,Europe,3834,16.35,20.52,"
1.26
",76,84.52,"
97.9
","
9190
"
Botswana,Africa,2004,33.75,5.63,"
2.71
",66,142.82,"
84.5
","
14550
"
Brazil,Americas,199000,24.56,10.81,"
1.82
",74,124.26,,"
11420
"
Brunei Darussalam,Western Pacific,412,25.75,7.03,"
2.03
",77,109.17,"
95.2
",
Bulgaria,Europe,7278,13.53,26.11,"
1.51
",74,140.68,,"
14160
"
Burkina Faso,Africa,16460,45.66,3.88,"
5.78
",56,45.27,,"
1300
"
Burundi,Africa,9850,44.2,3.87,"
6.21
",53,22.33,"
67.2
","
610
"
Cambodia,Western Pacific,14865,31.23,7.67,"
2.93
",65,96.17,,"
2230
"
Cameroon,Africa,21700,43.08,4.89,"
4.94
",53,52.35,,"
2330
"
Canada,Americas,34838,16.37,20.82,"
1.66
",82,79.73,,"
39660
"
Cape Verde,Africa,494,30.17,7.05,"
2.38
",72,79.19,"
84.3
","
3980
"
Central African Republic,Africa,4525,40.07,5.74,"
4.54
",48,40.65,"
56.0
","
810
"
Chad,Africa,12448,48.52,3.8,"
6.49
",51,31.8,"
34.5
","
1360
"
