Vandal,Minor,LoggedIn,HTTP,NumWordsAdded,NumWordsRemoved
0,1,1,1,96,0
0,1,1,0,3,1
0,0,1,0,0,4
0,1,0,0,10,92
0,1,1,1,94,10
0,0,1,0,4,4
0,0,1,0,3,3
0,0,1,0,2,0
0,1,1,1,5,2
0,0,0,0,0,0
0,0,1,0,2,1
0,1,1,0,3,5
0,1,1,0,0,0
0,0,1,0,1,0
0,0,0,0,27,8
0,0,1,0,0,1
0,0,1,0,2,1
0,1,1,0,4,1
0,0,1,1,52,52
0,1,1,0,0,3
0,1,1,0,3,3
0,1,1,0,1,0
0,1,1,0,0,0
0,0,1,0,0,24
0,1,1,1,55,24
0,0,1,0,1,0
0,1,1,0,0,0
0,0,0,0,1,0
0,1,1,0,0,0
0,1,1,0,0,0
0,1,0,0,0,1
0,0,1,0,43,40
0,0,1,0,0,0
0,0,1,0,0,0
0,1,1,0,1,0
0,1,1,0,1,0
0,1,1,0,2,1
0,1,1,0,1,2
0,1,1,0,5,0
0,0,1,0,1,0
0,0,0,1,10,0
0,0,1,0,0,47
0,0,1,0,50,0
0,0,0,0,6,1
0,0,0,0,0,0
0,0,0,0,1,1
0,1,1,0,2,0
0,0,1,0,5,0
0,0,0,1,2,1
0,0,0,0,1,1
0,0,1,0,62,0
0,0,0,0,2,1
0,1,1,0,1,0
0,0,0,0,0,0
0,0,1,0,38,0
0,1,1,0,0,1
0,1,1,0,0,0
0,1,1,0,1,0
0,1,1,0,1,1
0,0,1,0,1,0
0,0,1,1,18,1
0,0,0,0,0,0
0,0,0,0,1,1
0,0,1,0,3,3
0,0,0,0,24,0
0,0,1,0,11,0
0,1,1,1,3,0
0,1,1,0,0,0
0,0,1,0,0,10
0,0,1,0,1,1
0,0,0,0,0,1
0,0,0,0,0,0
0,0,0,0,1,1
0,0,0,1,2,0
0,0,1,0,0,1
0,0,0,0,1,0
0,0,0,0,3,0
0,1,1,0,1,1
0,1,1,0,0,0
0,1,1,0,1,1
0,0,0,0,1,1
0,1,1,0,0,0
0,1,1,0,0,7
0,0,0,0,1,0
0,0,1,0,2,0
0,0,1,0,0,7
0,1,1,0,0,0
0,1,1,0,3,2
0,0,0,0,0,0
0,0,0,0,0,0
0,0,1,0,0,8
0,1,1,0,0,0
0,0,0,0,8,0
0,1,1,0,0,0
0,1,1,0,0,0
0,0,0,0,0,0
0,0,1,0,0,0
0,1,1,1,140,13
0,0,0,0,0,0
0,0,1,0,0,1
0,1,1,0,2,1
0,0,0,0,0,0
0,0,0,0,0,1
0,1,1,0,0,0
0,1,1,0,1,2
0,1,1,0,0,0
0,1,1,0,0,0
0,0,0,0,0,0
0,1,1,0,0,38
0,1,1,0,93,7
0,0,1,0,0,0
0,1,1,0,0,0
0,1,1,0,0,0
0,1,1,0,0,11
0,1,1,0,0,2
0,1,1,1,102,1
0,1,1,0,3,1
0,1,1,0,0,0
0,1,1,0,1,0
0,0,1,0,0,3
0,0,0,0,1,1
0,1,1,0,0,0
0,0,1,0,0,0
0,0,1,0,0,0
0,1,1,0,0,1
0,1,1,0,0,0
0,0,0,0,0,0
0,0,1,0,0,3
0,1,1,0,0,0
0,1,1,0,0,2
0,0,0,0,0,0
0,1,1,0,0,0
0,1,1,0,0,0
0,1,1,0,1,2
0,0,0,0,0,7
0,1,1,0,0,25
0,1,1,0,0,0
0,1,1,0,1,6
0,1,1,0,21,1
0,1,1,0,0,0
0,0,0,0,0,0
0,0,1,0,0,0
0,1,1,0,0,0
0,0,0,0,0,93
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,1,1,0,0,0
0,0,1,0,0,0
0,1,1,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,1,1,0,1,1
0,0,0,0,0,0
0,1,1,0,0,0
0,0,1,0,0,1
0,0,0,0,0,0
0,0,0,0,0,0
0,0,1,0,0,0
0,0,0,0,0,19
0,0,0,0,0,0
0,0,0,0,0,0
0,1,1,0,1,8
0,1,1,0,0,0
0,1,1,0,0,4
0,0,1,0,0,5
0,1,1,0,0,0
0,1,1,0,11,21
0,0,1,0,12,32
0,0,0,0,0,0
0,1,1,0,0,3
0,0,0,0,0,4
0,1,1,0,0,0
0,1,1,0,0,1
0,0,0,0,0,0
0,0,1,0,0,0
0,0,1,0,0,4
0,0,0,0,0,0
0,1,1,0,1,7
0,0,0,0,1,1
0,0,1,0,0,0
0,1,1,0,0,0
0,1,1,0,0,0
0,1,1,0,0,0
0,0,1,0,0,5
0,1,1,0,0,0
0,1,1,0,14,0
0,1,1,0,24,13
0,0,1,0,0,1
0,1,1,0,0,3
0,0,0,0,0,29
0,1,1,0,62,0
0,1,1,0,0,6
0,1,1,0,1,2
0,0,0,0,0,3
0,0,0,0,0,0
0,1,1,0,0,3
0,0,0,0,0,0
0,1,1,0,0,1
0,0,1,0,0,1
0,0,0,0,0,0
0,0,1,0,0,27
0,0,1,0,3,2
0,0,1,0,0,0
0,0,1,0,0,26
0,1,1,0,0,1
0,1,1,0,0,4
0,1,1,0,0,1
0,0,0,0,0,0
0,0,1,0,12,0
0,1,1,1,1,1
0,1,1,1,5,0
0,1,1,0,0,0
0,0,0,0,0,0
0,1,1,0,0,0
0,0,0,0,0,2
0,1,1,0,0,10
0,0,0,0,18,0
0,0,0,0,0,0
0,0,0,0,0,1
0,0,0,0,0,0
0,0,1,0,0,0
0,1,1,0,0,5
0,1,1,0,0,2
0,0,1,0,0,0
0,0,1,0,1,1
0,1,1,0,0,4
0,1,1,0,2,2
0,0,0,0,0,0
0,0,0,0,0,0
