Day,Month,Year,daily_unit_sales,previous_year_daily_unit_sales,percentage_difference_daily_unit_sales,daily_unit_sales_kg,previous_year_daily_unit_sales_kg,percentage_difference_daily_unit_sales_kg,daily_unit_returns_kg,previous_year_daily_unit_returns_kg,points_of_distribution,previous_year_points_of_distribution
1,January,2020,55,,,33,,44.44%,,,5,
2,January,2020,"2,028",,,"1,217",,3.52%,,,29,
3,January,2020,"2,848",,,"1,709",,19.68%,,,672,
4,January,2020,"2,154",,,"1,292",,19.30%,,,532,
5,January,2020,-9,,,-5,,Infinity,,,2,
6,January,2020,416,,,250,,3.48%,,,8,
7,January,2020,"3,904",,,"2,342",,18.84%,,,842,
8,January,2020,"3,942",,,"2,365",,17.51%,,,868,
9,January,2020,"2,667",,,"1,600",,24.45%,,,664,
10,January,2020,"3,438",,,"2,063",,22.65%,,,748,
11,January,2020,"1,694",,,"1,016",,24.78%,,,558,
12,January,2020,"2,776",,,"1,666",,1.98%,,,26,
13,January,2020,"3,815",,,"2,289",,20.77%,,,981,
14,January,2020,"2,622",,,"1,573",,21.87%,,,837,
15,January,2020,"3,715",,,"2,229",,19.80%,,,958,
16,January,2020,"3,056",,,"1,834",,26.25%,,,888,
17,January,2020,"3,264",,,"1,958",,19.69%,,,934,
18,January,2020,"1,743",,,"1,046",,25.10%,,,577,
19,January,2020,"1,203",,,722,,4.07%,,,23,
20,January,2020,"3,542",,,"2,125",,18.98%,,,974,
21,January,2020,"3,029",,,"1,817",,19.01%,,,912,
22,January,2020,"5,989",,,"3,593",,12.56%,,,747,
23,January,2020,"2,819",,,"1,691",,20.25%,,,780,
24,January,2020,"3,592",,,"2,155",,18.36%,,,819,
25,January,2020,"1,871",,,"1,123",,22.37%,,,570,
26,January,2020,"2,285",,,"1,371",,1.51%,,,25,
27,January,2020,"3,570",,,"2,142",,16.96%,,,1076,
28,January,2020,"2,453",,,"1,472",,23.56%,,,877,
29,January,2020,"2,821",,,"1,693",,25.39%,,,837,
30,January,2020,"4,039",,,"2,423",,17.77%,,,763,
31,January,2020,"3,540",,,"2,124",,19.45%,,,1830,
1,February,2020,"1,761",,,"1,057",,37.11%,,,632,
2,February,2020,"2,716",,,"1,630",,5.73%,,,29,
3,February,2020,"4,122",,,"2,473",,15.22%,,,890,
4,February,2020,"2,696",,,"1,618",,18.08%,,,655,
5,February,2020,"4,720",,,"2,832",,13.58%,,,648,
6,February,2020,"3,304",,,"1,982",,19.12%,,,604,
7,February,2020,"3,577",,,"2,146",,15.84%,,,762,
8,February,2020,"1,861",,,"1,117",,23.45%,,,571,
9,February,2020,"1,865",,,"1,119",,0.37%,,,20,
10,February,2020,"3,388",,,"2,033",,15.87%,,,873,
11,February,2020,"2,447",,,"1,468",,21.19%,,,820,
12,February,2020,"3,281",,,"1,969",,20.58%,,,769,
13,February,2020,"2,928",,,"1,757",,21.29%,,,749,
14,February,2020,"3,834",,,"2,300",,14.86%,,,917,
15,February,2020,"1,804",,,"1,082",,21.97%,,,534,
16,February,2020,998,,,599,,11.60%,,,24,
17,February,2020,"4,399",,,"2,639",,13.34%,,,1000,
18,February,2020,"2,226",,,"1,336",,22.06%,,,698,
19,February,2020,"3,927",,,"2,356",,14.87%,,,923,
20,February,2020,"3,185",,,"1,911",,18.10%,,,724,
21,February,2020,"3,372",,,"2,023",,17.66%,,,783,
22,February,2020,"1,538",,,923,,22.52%,,,531,
23,February,2020,683,,,410,,3.53%,,,14,
24,February,2020,"3,967",,,"2,380",,14.32%,,,1049,
25,February,2020,"2,776",,,"1,666",,17.43%,,,887,
26,February,2020,"4,519",,,"2,711",,13.33%,,,853,
27,February,2020,"3,998",,,"2,399",,15.60%,,,752,
28,February,2020,"3,747",,,"2,248",,19.30%,,,1086,
29,February,2020,"2,045",,,"1,227",,24.76%,,,1667,
1,March,2020,-1,,,-1,,103.57%,,,8,
2,March,2020,"2,376",,,"1,426",,1.41%,,,26,
3,March,2020,"4,485",,,"2,691",,13.83%,,,719,
4,March,2020,"2,388",,,"1,433",,20.45%,,,639,
5,March,2020,"3,431",,,"2,059",,17.27%,,,578,
6,March,2020,"2,984",,,"1,790",,18.00%,,,659,
7,March,2020,"1,571",,,943,,22.80%,,,474,
8,March,2020,"1,013",,,608,,3.89%,,,19,
9,March,2020,"3,655",,,"2,193",,15.73%,,,722,
10,March,2020,"3,516",,,"2,110",,12.75%,,,838,
11,March,2020,"3,676",,,"2,206",,16.55%,,,870,
12,March,2020,"2,858",,,"1,715",,24.17%,,,718,
13,March,2020,"5,205",,,"3,123",,17.77%,,,793,
14,March,2020,"3,140",,,"1,884",,22.22%,,,642,
15,March,2020,"1,986",,,"1,192",,4.57%,,,25,
16,March,2020,"4,998",,,"2,999",,17.13%,,,941,
17,March,2020,"6,619",,,"3,971",,11.30%,,,739,
18,March,2020,"3,142",,,"1,885",,25.19%,,,701,
19,March,2020,"3,248",,,"1,949",,20.84%,,,611,
20,March,2020,"3,071",,,"1,843",,18.19%,,,643,
21,March,2020,"2,361",,,"1,417",,12.23%,,,530,
22,March,2020,"3,493",,,"2,096",,1.24%,,,26,
23,March,2020,"5,476",,,"3,286",,12.90%,,,1238,
24,March,2020,"2,290",,,"1,374",,28.66%,,,928,
25,March,2020,"1,126",,,676,,0.18%,,,18,
26,March,2020,"3,611",,,"2,167",,23.75%,,,993,
27,March,2020,"3,654",,,"2,192",,19.87%,,,651,
28,March,2020,"1,975",,,"1,185",,24.01%,,,954,
29,March,2020,629,,,377,,7.91%,,,19,
30,March,2020,"3,886",,,"2,332",,15.25%,,,1005,
31,March,2020,"4,839",,,"2,903",,12.54%,,,2373,
1,April,2020,"3,731",,,"2,239",,40.88%,,,668,
2,April,2020,"2,362",,,"1,417",,21.94%,,,547,
3,April,2020,"4,252",,,"2,551",,15.43%,,,683,
4,April,2020,"1,916",,,"1,150",,21.15%,,,525,
5,April,2020,"2,163",,,"1,298",,1.19%,,,20,
6,April,2020,"2,777",,,"1,666",,18.23%,,,741,
7,April,2020,"1,903",,,"1,142",,21.66%,,,692,
8,April,2020,"1,977",,,"1,186",,24.54%,,,518,
9,April,2020,"5,072",,,"3,043",,12.16%,,,568,
10,April,2020,"2,756",,,"1,654",,19.18%,,,794,
11,April,2020,"1,637",,,982,,23.86%,,,486,
12,April,2020,935,,,561,,4.88%,,,24,
13,April,2020,"3,655",,,"2,193",,16.25%,,,799,
14,April,2020,"2,398",,,"1,439",,19.96%,,,719,
15,April,2020,"1,922",,,"1,153",,23.46%,,,602,
16,April,2020,"2,853",,,"1,712",,23.55%,,,688,
17,April,2020,"3,480",,,"2,088",,15.70%,,,593,
18,April,2020,"1,563",,,938,,20.94%,,,460,
20,April,2020,716,,,430,,1.24%,,,17,
21,April,2020,"2,276",,,"1,366",,15.58%,,,935,
22,April,2020,"3,225",,,"1,935",,15.15%,,,829,
23,April,2020,"2,545",,,"1,527",,19.94%,,,625,
24,April,2020,"2,710",,,"1,626",,17.20%,,,788,
25,April,2020,"1,728",,,"1,037",,22.62%,,,497,
26,April,2020,644,,,386,,6.80%,,,19,
27,April,2020,"3,652",,,"2,191",,16.54%,,,1003,
28,April,2020,"3,214",,,"1,928",,18.76%,,,904,
29,April,2020,"5,162",,,"3,097",,13.87%,,,835,
30,April,2020,"2,064",,,"1,238",,32.48%,,,1684,
1,May,2020,"1,314",,,788,,6.14%,,,12,
2,May,2020,"2,613",,,"1,568",,16.68%,,,669,
3,May,2020,"1,458",,,875,,2.41%,,,24,
4,May,2020,"3,717",,,"2,230",,21.03%,,,980,
5,May,2020,"3,953",,,"2,372",,19.62%,,,790,
6,May,2020,"5,375",,,"3,225",,13.36%,,,674,
7,May,2020,"5,253",,,"3,152",,17.08%,,,705,
8,May,2020,"4,535",,,"2,721",,19.19%,,,903,
9,May,2020,"2,327",,,"1,396",,21.54%,,,582,
10,May,2020,"3,058",,,"1,835",,2.49%,,,23,
11,May,2020,"4,566",,,"2,740",,18.32%,,,1171,
12,May,2020,"3,342",,,"2,005",,23.14%,,,844,
13,May,2020,"5,100",,,"3,060",,13.69%,,,858,
14,May,2020,"5,670",,,"3,402",,13.16%,,,859,
15,May,2020,"3,803",,,"2,282",,20.02%,,,1202,
16,May,2020,"2,307",,,"1,384",,23.38%,,,610,
17,May,2020,493,,,296,,20.74%,,,16,
18,May,2020,"5,245",,,"3,147",,17.45%,,,1181,
19,May,2020,"5,057",,,"3,034",,17.13%,,,903,
20,May,2020,"4,735",,,"2,841",,18.91%,,,1126,
21,May,2020,"5,942",,,"3,565",,15.19%,,,875,
22,May,2020,"4,605",,,"2,763",,18.71%,,,1122,
23,May,2020,"2,604",,,"1,562",,20.97%,,,605,
24,May,2020,"1,583",,,950,,2.94%,,,22,
25,May,2020,"4,933",,,"2,960",,19.33%,,,1078,
26,May,2020,"3,715",,,"2,229",,18.35%,,,853,
27,May,2020,"5,712",,,"3,427",,13.52%,,,909,
28,May,2020,"3,321",,,"1,993",,24.86%,,,917,
29,May,2020,"3,784",,,"2,270",,17.38%,,,888,
30,May,2020,"2,073",,,"1,244",,18.67%,,,506,
31,May,2020,"2,219",,,"1,331",,0.45%,,,1316,
1,June,2020,"5,580",,,"3,348",,16.47%,,,739,
2,June,2020,"2,655",,,"1,593",,21.05%,,,612,
3,June,2020,"4,318",,,"2,591",,15.65%,,,646,
4,June,2020,"3,061",,,"1,837",,20.99%,,,737,
5,June,2020,"3,609",,,"2,165",,17.45%,,,796,
6,June,2020,"1,937",,,"1,162",,24.60%,,,537,
7,June,2020,"1,455",,,873,,0.07%,,,11,
8,June,2020,"2,522",,,"1,513",,12.79%,,,616,
9,June,2020,"4,017",,,"2,410",,15.77%,,,753,
10,June,2020,"3,574",,,"2,144",,17.10%,,,792,
11,June,2020,"4,876",,,"2,926",,13.02%,,,789,
12,June,2020,"2,809",,,"1,685",,19.19%,,,761,
