Day,Month,Year,daily_unit_sales,previous_year_daily_unit_sales,percentage_difference_daily_unit_sales,daily_unit_sales_kg,previous_year_daily_unit_sales_kg,percentage_difference_daily_unit_sales_kg,daily_unit_returns_kg,previous_year_daily_unit_returns_kg,points_of_distribution,previous_year_points_of_distribution,,,,,,
1,January,2021,-39,55,-170.91%,-23,33,-170.91%,Infinity,44.44%,3,5,,,,,,
2,January,2021,0,"2,028",-100.00%,0,"1,217",-100.00%,0.00%,3.52%,3,29,,,,,,32
3,January,2021,"2,508","2,848",-11.94%,"1,505","1,709",-11.94%,0.00%,19.68%,31,672,,,,,,
4,January,2021,"3,697","2,154",71.63%,"2,218","1,292",71.63%,3.55%,19.30%,686,532,,,,,,
5,January,2021,"1,706",-9,-19055.56%,"1,024",-5,-19055.56%,4.87%,Infinity,622,2,,,,,,
6,January,2021,413,416,-0.72%,248,250,-0.72%,0.72%,3.48%,12,8,,,,,,
7,January,2021,"4,566","3,904",16.96%,"2,740","2,342",16.96%,3.19%,18.84%,683,842,,,,,,
8,January,2021,"3,270","3,942",-17.05%,"1,962","2,365",-17.05%,5.39%,17.51%,698,868,,,,,,
9,January,2021,"2,026","2,667",-24.03%,"1,216","1,600",-24.03%,2.71%,24.45%,576,664,,,,,,
10,January,2021,"1,858","3,438",-45.96%,"1,115","2,063",-45.96%,0.53%,22.65%,18,748,,,,,,
11,January,2021,"4,903","1,694",189.43%,"2,942","1,016",189.43%,2.07%,24.78%,774,558,,,,,,
12,January,2021,"2,749","2,776",-0.97%,"1,649","1,666",-0.97%,4.75%,1.98%,669,26,,,,,,
13,January,2021,"3,222","3,815",-15.54%,"1,933","2,289",-15.54%,3.48%,20.77%,683,981,,,,,,
14,January,2021,"5,340","2,622",103.66%,"3,204","1,573",103.66%,3.69%,21.87%,611,837,,,,,,
15,January,2021,"3,898","3,715",4.93%,"2,339","2,229",4.93%,3.05%,19.80%,736,958,,,,,,
16,January,2021,"2,077","3,056",-32.04%,"1,246","1,834",-32.04%,0.62%,26.25%,519,888,,,,,,
17,January,2021,"2,631","3,264",-19.39%,"1,579","1,958",-19.39%,1.83%,19.69%,23,934,,,,,,
18,January,2021,"4,514","1,743",158.98%,"2,708","1,046",158.98%,3.85%,25.10%,709,577,,,,,,
19,January,2021,"2,792","1,203",132.09%,"1,675",722,132.09%,4.47%,4.07%,570,23,,,,,,
20,January,2021,"5,205","3,542",46.95%,"3,123","2,125",46.95%,0.85%,18.98%,571,974,,,,,,
21,January,2021,"3,194","3,029",5.45%,"1,916","1,817",5.45%,2.73%,19.01%,519,912,,,,,,
22,January,2021,"3,649","5,989",-39.07%,"2,189","3,593",-39.07%,2.09%,12.56%,557,747,,,,,,
23,January,2021,"1,636","2,819",-41.97%,982,"1,691",-41.97%,0.32%,20.25%,487,780,,,,,,
24,January,2021,"2,944","3,592",-18.04%,"1,766","2,155",-18.04%,0.20%,18.36%,23,819,,,,,,
25,January,2021,"3,935","1,871",110.32%,"2,361","1,123",110.32%,2.31%,22.37%,700,570,,,,,,
26,January,2021,"2,143","2,285",-6.21%,"1,286","1,371",-6.21%,2.37%,1.51%,584,25,,,,,,
27,January,2021,"2,976","3,570",-16.64%,"1,786","2,142",-16.64%,1.13%,16.96%,633,1076,,,,,,
28,January,2021,"4,376","2,453",78.39%,"2,626","1,472",78.39%,1.68%,23.56%,559,877,,,,,,
29,January,2021,"3,167","2,821",12.27%,"1,900","1,693",12.27%,3.02%,25.39%,705,837,,,,,,
30,January,2021,"1,808","4,039",-55.24%,"1,085","2,423",-55.24%,1.87%,17.77%,521,763,,,,,,
31,January,2021,"1,145","3,540",-67.66%,687,"2,124",-67.66%,2.28%,19.45%,2104,1830,,,,,,
1,February,2021,"5,063","1,761",187.51%,"3,038","1,057",187.51%,6.06%,37.11%,841,632,,,,,,
2,February,2021,"2,785","2,716",2.54%,"1,671","1,630",2.54%,2.35%,5.73%,628,29,,,,,,
3,February,2021,"2,938","4,122",-28.72%,"1,763","2,473",-28.72%,2.32%,15.22%,638,890,,,,,,
4,February,2021,"3,705","2,696",37.43%,"2,223","1,618",37.43%,1.48%,18.08%,553,655,,,,,,
5,February,2021,"3,328","4,720",-29.49%,"1,997","2,832",-29.49%,2.16%,13.58%,653,648,,,,,,
6,February,2021,"1,723","3,304",-47.85%,"1,034","1,982",-47.85%,1.05%,19.12%,509,604,,,,,,
7,February,2021,"3,696","3,577",3.33%,"2,218","2,146",3.33%,0.11%,15.84%,24,762,,,,,,
8,February,2021,"3,845","1,861",106.61%,"2,307","1,117",106.61%,2.61%,23.45%,749,571,,,,,,
9,February,2021,"2,124","1,865",13.89%,"1,274","1,119",13.89%,2.27%,0.37%,618,20,,,,,,
10,February,2021,"5,273","3,388",55.64%,"3,164","2,033",55.64%,0.84%,15.87%,661,873,,,,,,
11,February,2021,"3,877","2,447",58.44%,"2,326","1,468",58.44%,0.79%,21.19%,578,820,,,,,,
12,February,2021,"3,204","3,281",-2.35%,"1,922","1,969",-2.35%,1.95%,20.58%,700,769,,,,,,
13,February,2021,"2,919","2,928",-0.31%,"1,751","1,757",-0.31%,0.37%,21.29%,561,749,,,,,,
14,February,2021,"2,200","3,834",-42.62%,"1,320","2,300",-42.62%,0.00%,14.86%,15,917,,,,,,
15,February,2021,"3,678","1,804",103.88%,"2,207","1,082",103.88%,0.26%,21.97%,645,534,,,,,,
16,February,2021,"1,810",998,81.36%,"1,086",599,81.36%,1.69%,11.60%,425,24,,,,,,
17,February,2021,"2,201","4,399",-49.97%,"1,321","2,639",-49.97%,6.28%,13.34%,466,1000,,,,,,
18,February,2021,"3,029","2,226",36.07%,"1,817","1,336",36.07%,1.85%,22.06%,536,698,,,,,,
19,February,2021,"3,835","3,927",-2.34%,"2,301","2,356",-2.34%,2.39%,14.87%,653,923,,,,,,
20,February,2021,"1,776","3,185",-44.24%,"1,066","1,911",-44.24%,0.72%,18.10%,497,724,,,,,,
21,February,2021,926,"3,372",-72.54%,556,"2,023",-72.54%,8.82%,17.66%,23,783,,,,,,
22,February,2021,"5,082","1,538",230.43%,"3,049",923,230.43%,0.71%,22.52%,691,531,,,,,,
23,February,2021,"2,254",683,230.01%,"1,352",410,230.01%,1.08%,3.53%,518,14,,,,,,
24,February,2021,"2,668","3,967",-32.75%,"1,601","2,380",-32.75%,1.37%,14.32%,562,1049,,,,,,
25,February,2021,"4,652","2,776",67.58%,"2,791","1,666",67.58%,0.82%,17.43%,517,887,,,,,,
26,February,2021,"2,648","4,519",-41.40%,"1,589","2,711",-41.40%,2.15%,13.33%,665,853,,,,,,
27,February,2021,"1,800","3,998",-54.98%,"1,080","2,399",-54.98%,1.29%,15.60%,514,752,,,,,,
28,February,2021,"1,815","3,747",-51.56%,"1,089","2,248",-51.56%,0.96%,19.30%,2100,1086,,,,,,
1,March,2021,"4,602",-1,-460300.00%,"2,761",-1,-460300.00%,2.07%,103.57%,741,8,,,,,,
2,March,2021,"2,734","2,376",15.07%,"1,640","1,426",15.07%,1.33%,1.41%,542,26,,,,,,
3,March,2021,"2,658","4,485",-40.74%,"1,595","2,691",-40.74%,1.03%,13.83%,599,719,,,,,,
4,March,2021,"3,869","2,388",62.02%,"2,321","1,433",62.02%,0.81%,20.45%,546,639,,,,,,
5,March,2021,"2,866","3,431",-16.47%,"1,720","2,059",-16.47%,1.91%,17.27%,588,578,,,,,,
6,March,2021,"1,478","2,984",-50.47%,887,"1,790",-50.47%,0.67%,18.00%,470,659,,,,,,
7,March,2021,"1,538","1,571",-2.10%,923,943,-2.10%,0.13%,22.80%,16,474,,,,,,
8,March,2021,"3,640","1,013",259.33%,"2,184",608,259.33%,3.08%,3.89%,659,19,,,,,,
9,March,2021,"2,749","3,655",-24.79%,"1,649","2,193",-24.79%,1.84%,15.73%,535,722,,,,,,
10,March,2021,"3,244","3,516",-7.74%,"1,946","2,110",-7.74%,0.76%,12.75%,571,838,,,,,,
11,March,2021,"2,592","3,676",-29.49%,"1,555","2,206",-29.49%,1.60%,16.55%,531,870,,,,,,
12,March,2021,"4,199","2,858",46.92%,"2,519","1,715",46.92%,1.12%,24.17%,682,718,,,,,,
13,March,2021,"1,689","5,205",-67.55%,"1,013","3,123",-67.55%,0.92%,17.77%,502,793,,,,,,
14,March,2021,0,"3,140",-100.00%,,"1,884",-100.00%,,22.22%,,642,,,,,,
15,March,2021,552,"1,986",-72.21%,331,"1,192",-72.21%,0.70%,4.57%,19,25,,,,,,
16,March,2021,"3,721","4,998",-25.55%,"2,233","2,999",-25.55%,2.05%,17.13%,630,941,,,,,,
17,March,2021,"3,428","6,619",-48.21%,"2,057","3,971",-48.21%,2.51%,11.30%,583,739,,,,,,
18,March,2021,"3,861","3,142",22.88%,"2,317","1,885",22.88%,2.17%,25.19%,541,701,,,,,,
19,March,2021,"3,058","3,248",-5.85%,"1,835","1,949",-5.85%,2.79%,20.84%,982,611,,,,,,
20,March,2021,"1,485","3,071",-51.64%,891,"1,843",-51.64%,0.59%,18.19%,441,643,,,,,,
21,March,2021,762,"2,361",-67.73%,457,"1,417",-67.73%,0.26%,12.23%,16,530,,,,,,
22,March,2021,"3,735","3,493",6.93%,"2,241","2,096",6.93%,2.39%,1.24%,686,26,,,,,,
23,March,2021,"3,317","5,476",-39.43%,"1,990","3,286",-39.43%,1.15%,12.90%,582,1238,,,,,,
24,March,2021,"2,134","2,290",-6.81%,"1,280","1,374",-6.81%,2.13%,28.66%,658,928,,,,,,
25,March,2021,"1,073","1,126",-4.71%,644,676,-4.71%,0.64%,0.18%,19,18,,,,,,
26,March,2021,"3,262","3,611",-9.66%,"1,957","2,167",-9.66%,2.31%,23.75%,624,993,,,,,,
27,March,2021,"1,766","3,654",-51.67%,"1,060","2,192",-51.67%,0.90%,19.87%,504,651,,,,,,
28,March,2021,"1,691","1,975",-14.38%,"1,015","1,185",-14.38%,3.03%,24.01%,8,954,,,,,,
29,March,2021,"5,391",629,757.07%,"3,235",377,757.07%,1.26%,7.91%,705,19,,,,,,
30,March,2021,"2,765","3,886",-28.85%,"1,659","2,332",-28.85%,2.21%,15.25%,569,1005,,,,,,
31,March,2021,"2,428","4,839",-49.82%,"1,457","2,903",-49.82%,3.77%,12.54%,2579,2373,,,,,,
1,April,2021,"5,312","3,731",42.37%,"3,187","2,239",42.37%,2.20%,40.88%,566,668,,,,,,
2,April,2021,"2,843","2,362",20.36%,"1,706","1,417",20.36%,3.14%,21.94%,648,547,,,,,,
3,April,2021,"1,650","4,252",-61.19%,990,"2,551",-61.19%,0.89%,15.43%,482,683,,,,,,
4,April,2021,"1,388","1,916",-27.56%,833,"1,150",-27.56%,0.29%,21.15%,14,525,,,,,,
5,April,2021,"4,049","2,163",87.19%,"2,429","1,298",87.19%,1.92%,1.19%,737,20,,,,,,
6,April,2021,"2,580","2,777",-7.09%,"1,548","1,666",-7.09%,2.74%,18.23%,574,741,,,,,,
7,April,2021,"3,779","1,903",98.58%,"2,267","1,142",98.58%,1.50%,21.66%,554,692,,,,,,
8,April,2021,"3,534","1,977",78.76%,"2,120","1,186",78.76%,2.02%,24.54%,557,518,,,,,,
9,April,2021,"2,749","5,072",-45.80%,"1,649","3,043",-45.80%,2.22%,12.16%,653,568,,,,,,
10,April,2021,"1,448","2,756",-47.46%,869,"1,654",-47.46%,0.91%,19.18%,450,794,,,,,,
11,April,2021,"2,371","1,637",44.84%,"1,423",982,44.84%,0.88%,23.86%,21,486,,,,,,
12,April,2021,"3,862",935,313.05%,"2,317",561,313.05%,2.73%,4.88%,744,24,,,,,,
13,April,2021,"2,398","3,655",-34.39%,"1,439","2,193",-34.39%,2.47%,16.25%,597,799,,,,,,
14,April,2021,"3,868","2,398",61.30%,"2,321","1,439",61.30%,1.68%,19.96%,588,719,,,,,,
15,April,2021,"4,091","1,922",112.85%,"2,455","1,153",112.85%,2.97%,23.46%,558,602,,,,,,
16,April,2021,"2,738","2,853",-4.03%,"1,643","1,712",-4.03%,4.11%,23.55%,669,688,,,,,,
17,April,2021,"1,586","3,480",-54.43%,952,"2,088",-54.43%,3.35%,15.70%,473,593,,,,,,
18,April,2021,491,"1,563",-68.59%,295,938,-68.59%,14.66%,20.94%,12,460,,,,,,
19,April,2021,"3,934",0,#DIV/0!,"2,360",,,2.22%,,704,,,,,,,
20,April,2021,"3,308",716,362.01%,"1,985",430,362.01%,1.25%,1.24%,546,17,,,,,,
21,April,2021,"2,437","2,276",7.07%,"1,462","1,366",7.07%,2.77%,15.58%,569,935,,,,,,
22,April,2021,"3,584","3,225",11.13%,"2,150","1,935",11.13%,1.25%,15.15%,522,829,,,,,,
23,April,2021,"2,410","2,545",-5.30%,"1,446","1,527",-5.30%,2.91%,19.94%,592,625,,,,,,
24,April,2021,"1,342","2,710",-50.48%,805,"1,626",-50.48%,0.84%,17.20%,422,788,,,,,,
25,April,2021,"2,206","1,728",27.66%,"1,324","1,037",27.66%,0.09%,22.62%,21,497,,,,,,
26,April,2021,"4,001",644,521.27%,"2,401",386,521.27%,1.87%,6.80%,646,19,,,,,,
27,April,2021,"2,142","3,652",-41.35%,"1,285","2,191",-41.35%,2.03%,16.54%,468,1003,,,,,,
28,April,2021,"2,593","3,214",-19.32%,"1,556","1,928",-19.32%,1.22%,18.76%,543,904,,,,,,
29,April,2021,"4,131","5,162",-19.97%,"2,479","3,097",-19.97%,1.25%,13.87%,503,835,,,,,,
30,April,2021,"2,940","2,064",42.44%,"1,764","1,238",42.44%,2.52%,32.48%,2291,1684,,,,,,
1,May,2021,"1,443","1,314",9.82%,866,788,9.82%,4.43%,6.14%,450,12,,,,,,
2,May,2021,0,"2,613",-100.00%,,"1,568",-100.00%,,16.68%,,669,,,,,,
3,May,2021,0,"1,458",-100.00%,,875,-100.00%,,2.41%,,24,,,,,,
4,May,2021,542,"3,717",-85.42%,325,"2,230",-85.42%,1.09%,21.03%,15,980,,,,,,
5,May,2021,"3,215","3,953",-18.67%,"1,929","2,372",-18.67%,1.86%,19.62%,587,790,,,,,,
6,May,2021,"3,938","5,375",-26.73%,"2,363","3,225",-26.73%,3.84%,13.36%,651,674,,,,,,
7,May,2021,"4,122","5,253",-21.53%,"2,473","3,152",-21.53%,2.47%,17.08%,726,705,,,,,,
8,May,2021,"2,507","4,535",-44.72%,"1,504","2,721",-44.72%,1.43%,19.19%,572,903,,,,,,
9,May,2021,"2,707","2,327",16.33%,"1,624","1,396",16.33%,0.18%,21.54%,12,582,,,,,,
10,May,2021,"5,988","3,058",95.81%,"3,593","1,835",95.81%,0.69%,2.49%,772,23,,,,,,
11,May,2021,"3,399","4,566",-25.56%,"2,039","2,740",-25.56%,1.68%,18.32%,642,1171,,,,,,
12,May,2021,"3,364","3,342",0.66%,"2,018","2,005",0.66%,2.08%,23.14%,664,844,,,,,,
13,May,2021,"5,536","5,100",8.55%,"3,322","3,060",8.55%,0.84%,13.69%,612,858,,,,,,
14,May,2021,"3,860","5,670",-31.92%,"2,316","3,402",-31.92%,2.59%,13.16%,759,859,,,,,,
15,May,2021,"2,265","3,803",-40.44%,"1,359","2,282",-40.44%,0.84%,20.02%,544,1202,,,,,,
16,May,2021,"1,022","2,307",-55.70%,613,"1,384",-55.70%,5.35%,23.38%,20,610,,,,,,
17,May,2021,"5,169",493,948.48%,"3,101",296,948.48%,1.20%,20.74%,814,16,,,,,,
18,May,2021,"2,954","5,245",-43.68%,"1,772","3,147",-43.68%,1.04%,17.45%,678,1181,,,,,,
19,May,2021,"5,394","5,057",6.66%,"3,236","3,034",6.66%,0.67%,17.13%,706,903,,,,,,
20,May,2021,"5,163","4,735",9.04%,"3,098","2,841",9.04%,1.76%,18.91%,607,1126,,,,,,
21,May,2021,"3,859","5,942",-35.06%,"2,315","3,565",-35.06%,2.12%,15.19%,768,875,,,,,,
22,May,2021,"2,445","4,605",-46.91%,"1,467","2,763",-46.91%,0.46%,18.71%,539,1122,,,,,,
23,May,2021,"2,111","2,604",-18.93%,"1,267","1,562",-18.93%,0.05%,20.97%,12,605,,,,,,
24,May,2021,"5,722","1,583",261.47%,"3,433",950,261.47%,0.69%,2.94%,800,22,,,,,,
25,May,2021,"2,264","4,933",-54.11%,"1,358","2,960",-54.11%,3.84%,19.33%,700,1078,,,,,,
26,May,2021,"2,555","3,715",-31.22%,"1,533","2,229",-31.22%,2.13%,18.35%,696,853,,,,,,
