Day,Month,Year,daily_unit_sales,previous_year_daily_unit_sales,percentage_difference_daily_unit_sales,daily_unit_sales_kg,previous_year_daily_unit_sales_kg,percentage_difference_daily_unit_sales_kg,daily_unit_returns_kg,previous_year_daily_unit_returns_kg,points_of_distribution,previous_year_points_of_distribution,,
1,January,2022,40,-39,-202.56%,24,-23,-202.56%,5.00%,Infinity,3,3,,
2,January,2022,608,0,#DIV/0!,365,0,,2.56%,0.00%,14,3,,
3,January,2022,"3,065","2,508",22.21%,"1,839","1,505",22.21%,5.81%,0.00%,427,31,,
4,January,2022,"2,315","3,697",-37.38%,"1,389","2,218",-37.38%,6.79%,3.55%,608,686,,
5,January,2022,"1,845","1,706",8.15%,"1,107","1,024",8.15%,7.09%,4.87%,640,622,,
6,January,2022,868,413,110.17%,521,248,110.17%,0.00%,0.72%,14,12,,
7,January,2022,"2,902","4,566",-36.44%,"1,741","2,740",-36.44%,5.24%,3.19%,643,683,,
8,January,2022,"1,891","3,270",-42.17%,"1,135","1,962",-42.17%,2.96%,5.39%,533,698,,
9,January,2022,575,"2,026",-71.62%,345,"1,216",-71.62%,2.17%,2.71%,11,576,,
10,January,2022,"3,056","1,858",64.48%,"1,834","1,115",64.48%,5.22%,0.53%,749,18,,
11,January,2022,"3,178","4,903",-35.18%,"1,907","2,942",-35.18%,5.17%,2.07%,708,774,,
12,January,2022,"3,181","2,749",15.71%,"1,909","1,649",15.71%,3.88%,4.75%,645,669,,
13,January,2022,"3,316","3,222",2.92%,"1,990","1,933",2.92%,5.47%,3.48%,605,683,,
14,January,2022,"3,199","5,340",-40.09%,"1,919","3,204",-40.09%,5.84%,3.69%,652,611,,
15,January,2022,"1,690","3,898",-56.64%,"1,014","2,339",-56.64%,1.71%,3.05%,469,736,,
16,January,2022,"1,039","2,077",-49.98%,623,"1,246",-49.98%,0.67%,0.62%,21,519,,
17,January,2022,"3,499","2,631",32.99%,"2,099","1,579",32.99%,2.60%,1.83%,724,23,,
18,January,2022,"1,973","4,514",-56.29%,"1,184","2,708",-56.29%,3.40%,3.85%,572,709,,
19,January,2022,"2,360","2,792",-15.47%,"1,416","1,675",-15.47%,7.88%,4.47%,614,570,,
20,January,2022,"3,863","5,205",-25.78%,"2,318","3,123",-25.78%,4.12%,0.85%,612,571,,
21,January,2022,"3,148","3,194",-1.44%,"1,889","1,916",-1.44%,6.32%,2.73%,647,519,,
22,January,2022,"1,788","3,649",-51.00%,"1,073","2,189",-51.00%,0.94%,2.09%,484,557,,
23,January,2022,"1,768","1,636",8.07%,"1,061",982,8.07%,0.00%,0.32%,14,487,,
24,January,2022,"2,908","2,944",-1.22%,"1,745","1,766",-1.22%,1.67%,0.20%,628,23,,
25,January,2022,"1,999","3,935",-49.20%,"1,199","2,361",-49.20%,3.41%,2.31%,384,700,,
26,January,2022,"2,817","2,143",31.45%,"1,690","1,286",31.45%,2.06%,2.37%,448,584,,
27,January,2022,"5,469","2,976",83.77%,"3,281","1,786",83.77%,1.75%,1.13%,532,633,,
28,January,2022,"2,794","4,376",-36.15%,"1,676","2,626",-36.15%,3.10%,1.68%,645,559,,
29,January,2022,"1,935","3,167",-38.90%,"1,161","1,900",-38.90%,1.88%,3.02%,484,705,,
30,January,2022,"1,488","1,808",-17.70%,893,"1,085",-17.70%,0.07%,1.87%,12,521,,
31,January,2022,"3,529","1,145",208.21%,"2,117",687,208.21%,2.77%,2.28%,2392,2104,,
1,February,2022,"2,519","5,063",-50.25%,"1,511","3,038",-50.25%,7.63%,6.06%,592,841,,
2,February,2022,"3,751","2,785",34.69%,"2,251","1,671",34.69%,3.71%,2.35%,549,628,,
3,February,2022,"2,949","2,938",0.37%,"1,769","1,763",0.37%,2.86%,2.32%,517,638,,
4,February,2022,"3,210","3,705",-13.36%,"1,926","2,223",-13.36%,4.22%,1.48%,534,553,,
5,February,2022,"1,314","3,328",-60.52%,788,"1,997",-60.52%,6.08%,2.16%,438,653,,
6,February,2022,658,"1,723",-61.81%,395,"1,034",-61.81%,0.89%,1.05%,18,509,,
7,February,2022,"4,148","3,696",12.23%,"2,489","2,218",12.23%,3.93%,0.11%,677,24,,
8,February,2022,"2,270","3,845",-40.96%,"1,362","2,307",-40.96%,8.16%,2.61%,531,749,,
9,February,2022,"2,406","2,124",13.28%,"1,444","1,274",13.28%,2.32%,2.27%,551,618,,
10,February,2022,"2,857","5,273",-45.82%,"1,714","3,164",-45.82%,4.67%,0.84%,504,661,,
11,February,2022,"2,113","3,877",-45.50%,"1,268","2,326",-45.50%,5.96%,0.79%,588,578,,
12,February,2022,"1,475","3,204",-53.96%,885,"1,922",-53.96%,0.96%,1.95%,431,700,,
