Day,Price
1,78.72
2,78.31
3,75.98
4,78.21
5,78.21
6,76.34
7,75.75
8,75.71
9,79.11
10,78.09
11,76.95
12,80.51
13,88.09
14,87.25
15,86.69
16,88.03
17,86.4
18,83.11
19,81.29
20,82.13
21,83.26
22,85.26
23,82.85
24,81.76
25,81.73
26,83.42
27,80.81
28,81.41
29,80.77
30,78.03
31,79.19
32,81.16
33,79.04
34,76.74
35,79.51
36,78.3
37,77.34
38,78.73
39,71.54
40,76.5
41,81
42,74.93
43,71.76
44,69.96
45,72.08
46,70.7
47,63.35
48,72.76
49,69.58
50,67.36
51,67
52,65.23
53,58.52
54,61.02
55,56
56,56.25
57,62.02
58,55.86
59,48.72
60,50.29
61,50.65
62,52.97
63,50.23
64,49.99
65,50.32
66,48.96
67,49.58
68,56.04
69,56.89
70,56.71
71,57.24
72,55.77
73,58.45
74,51.98
75,47.22
76,49.21
77,48.46
78,46.3
79,41.56
80,44.93
81,41.75
82,39.69
83,38.44
84,35.84
85,35.03
86,37.87
87,42.5
88,42.19
89,43.96
90,42.7
91,40.47
92,41.19
93,45.21
94,47.32
95,48.26
96,51.41
97,51.25
98,49.7
99,48.25
100,51.25
101,48.85
102,52.63
103,53.18
104,52.08
105,51.56
106,49.84
107,51.08
108,51.44
109,51.78
110,49.4
111,50.76
112,51.28
113,54.36
114,54.06
115,57.36
116,56.2
117,57.16
118,55.51
119,51.92
120,51.45
121,48.49
122,51.44
123,51.59
124,48.44
125,50.54
126,49.94
127,50.63
128,49.63
129,48.44
130,50.36
131,50
132,58.82
133,61.15
134,63.59
135,61.06
136,63.18
137,66.55
138,66.71
139,63.31
140,64.354
141,63.96
142,63.26
143,61.67
144,62.35
145,61.95
146,63.86
147,61.71
148,65.6
149,63.71
150,62.34
151,64.79
152,61.99
153,61.7
154,64.81
155,64.77
156,61.69
157,60.49
158,65.71
159,68.54
160,69.58
161,68.63
162,66.98
163,71.35
164,71.25
165,70.1
166,69.96
167,75.58
168,72.81
169,72.4
170,73.69
171,70.52
172,71.44
173,73.44
174,73.5
175,76.34
176,78.17
177,77.99
178,75.51
179,76.98
180,79.77
181,78.94
182,77.22
183,74.71
184,77.25
185,78.05
186,77.57
187,78.74
188,79.2
189,80.61
190,84.46
191,83.12
192,82.4
193,79.79
194,80.52
195,78.96
196,79.77
197,81.9
198,81.99
199,79.28
200,77.95
201,78.61
202,77.93
203,74.19
204,75.11
205,73.6
206,75.95
207,77.87
208,77.97
209,75.96
210,75.64
211,78.39
212,77.1
213,77.65
214,77.99
215,83.05
216,84.93
217,85.68
218,85.52
219,87.56
220,86.36
221,87.08
222,86.59
223,85.69
224,84.08
225,83.18
226,82.15
227,82.65
228,81.595
229,82.96
230,79.15
231,77.68
232,79.27
233,82.2
234,83.88
235,83.03
236,83.66
237,81.6
238,79.32
239,78.1
240,75.63
241,77.36
242,78.1
243,77.63
244,81.47
245,81.95
246,84.55
247,86.11
248,85.85
249,88.23
250,89.01
251,88.79
252,93.87
253,86.49
254,84.24
255,84.98
256,84.34
257,86.09
258,85.76
259,87.44
260,85.8
261,84.29
262,84.47
263,85.32
264,84.44
265,83.56
266,85.96
267,84.6
268,83.58
269,81.06
270,82.12
271,83
272,84.09
273,85
274,84.5
275,84.19
276,84
277,84.31
278,82.76
279,81.19
280,79.16
281,78.14
282,78.46
283,78.87
284,80.9
285,82.24
