day,company1,company2
1,78.72,62.957142
2,78.31,62.185715
3,75.98,62.971428
4,78.21,64.279999
5,78.21,64.998573
6,76.34,65.10714
7,75.75,65.43
8,75.71,66.384285
9,79.11,66.860001
10,78.09,66.257141
11,76.95,66.265717
12,80.51,65.519997
13,88.09,65.265717
14,87.25,67.277145
15,86.69,71.125717
16,88.03,70.917145
17,86.4,71.449997
18,83.11,72.048569
19,81.29,72.815712
20,82.13,71.941429
21,83.26,72.139999
22,85.26,71.895714
23,82.85,71.535713
24,81.76,71.14286
25,81.73,69.428574
26,83.42,70.235718
27,80.81,70.285713
28,81.41,70.442856
29,80.77,71.365715
30,78.03,71.464287
31,79.19,71.205711
32,81.16,72.14286
33,79.04,72.314285
34,76.74,66.715714
35,79.51,66.928574
36,78.3,67.048569
37,77.34,65.85714
38,78.73,63.994286
39,71.54,66.168571
40,76.5,67.242859
41,81,68.285713
42,74.93,70.871429
43,71.76,70.697144
44,69.96,69.885712
45,72.08,69.428574
46,70.7,69.111427
47,63.35,68.178574
48,72.76,68.349998
49,69.58,69.375717
50,67.36,70.072861
51,67,69.122856
52,65.23,69.508568
53,58.52,69.991432
54,61.02,69.234283
55,56,70.188568
56,56.25,69.57
57,62.02,69.975716
58,55.86,71.072861
59,48.72,71.541428
60,50.29,71.425713
61,50.65,72.284286
62,52.97,73.110001
63,50.23,75.201431
64,49.99,74.14286
65,50.32,75
66,48.96,75.902855
67,49.58,75.577141
68,56.04,76.610001
69,56.89,74.230003
70,56.71,75
71,57.24,74.860001
72,55.77,74.442856
73,58.45,74.940002
74,51.98,74.878571
75,47.22,74.225716
76,49.21,73.511429
77,48.46,74.284286
78,46.3,73.952858
79,41.56,74
80,44.93,74.687141
81,41.75,75.225716
82,39.69,74.998573
83,38.44,74.147141
84,35.84,74.175713
85,35.03,73.942856
86,37.87,74.21714
87,42.5,74.431427
88,42.19,74.874283
89,43.96,76.615715
90,42.7,78.497147
91,40.47,79.714287
92,41.19,79.757141
93,45.21,80.785713
94,47.32,81.807144
95,48.26,80.827141
96,51.41,80.128571
97,51.25,80.511429
98,49.7,81
99,48.25,80.305717
100,51.25,80.407143
101,48.85,79.288574
102,52.63,79.401428
103,53.18,78.528572
104,52.08,78.5
105,51.56,77.918571
106,49.84,81.14286
107,51.08,81.412857
108,51.44,81.157143
109,51.78,80.545715
110,49.4,79.637146
111,50.76,79.167145
112,51.28,79.382858
113,54.36,78.980003
114,54.06,76.778572
115,57.36,77.760002
116,56.2,76.972855
117,57.16,78.114288
118,55.51,77.118568
119,51.92,75.701431
120,51.45,76.888573
121,48.49,79.074287
122,51.44,79.271431
123,51.59,78.78286
124,48.44,77.284286
125,50.54,78.701431
126,49.94,78.562859
127,50.63,79.14286
128,49.63,78.581429
129,48.44,72.68
130,50.36,71.992859
131,50,71.791428
132,58.82,70.739998
133,61.15,71.80143
134,63.59,72.264282
135,61.06,72.365715
136,63.18,72.865715
137,66.55,74.482857
138,66.71,74.094284
139,63.31,75.80143
140,64.354,76.707146
141,63.96,76.379997
142,63.26,77.495712
143,61.67,78
144,62.35,77.821426
145,61.95,76.141426
146,63.86,76.112854
147,61.71,74.735718
148,65.6,75.625717
149,63.71,74.80143
150,62.34,73.877144
151,64.79,75.582855
152,61.99,74.774284
153,61.7,75.85714
154,64.81,75.845711
155,64.77,76.112854
156,61.69,75.870003
157,60.49,75.480003
158,65.71,76.492859
159,68.54,76.358574
160,69.58,76.777145
161,68.63,75.541428
162,66.98,75.385712
163,71.35,75.128571
164,71.25,76.03714
165,70.1,75.69857
166,69.96,75.989998
167,75.58,76.917145
168,72.81,77.35714
169,72.4,78.074287
170,73.69,77.145714
171,70.52,76.902855
172,71.44,77.03286
173,73.44,76.822861
174,73.5,77.482857
175,76.34,77.341431
176,78.17,77.115715
177,77.99,75.431427
178,75.51,75.027145
179,76.98,74.662857
180,79.77,75.811432
181,78.94,74.14286
182,77.22,74.557144
183,74.71,74.324287
184,77.25,74.007141
185,78.05,74.285713
186,77.57,75.048569
187,78.74,75.472855
188,79.2,75.580002
189,80.61,81.172859
190,84.46,80.647141
191,83.12,81.828575
192,82.4,84.82
193,79.79,84.662857
194,80.52,84.571426
195,78.96,84.620003
196,79.77,84.305717
197,81.9,85.971428
198,81.99,85.035713
199,79.28,84.035713
200,77.95,83.505714
201,78.61,83.927139
202,77.93,84.571426
203,74.19,84.632858
204,75.11,84.957146
205,73.6,84.089996
206,75.95,85.407143
207,77.87,86.358574
208,77.97,86.261429
209,75.96,86.657143
210,75.64,86.75
211,78.39,87.982857
212,77.1,89.431427
213,77.65,89.692856
214,77.99,91.139999
215,83.05,90.565712
216,84.93,89.779999
217,85.68,91.062859
218,85.52,92.314285
219,87.56,92.842857
220,86.36,92.699997
221,87.08,94.730003
222,86.59,94.129997
223,85.69,94.040001
224,84.08,92.199997
225,83.18,91.510002
226,82.15,92.309998
227,82.65,92.269997
228,81.595,92.290001
229,82.96,91.849998
230,79.15,91.32
231,77.68,90.75
232,79.27,90.209999
233,82.2,90.370003
234,83.88,90.82
235,83.03,92.099998
236,83.66,93.519997
237,81.6,93.870003
238,79.32,93.669998
239,78.1,94.139999
240,75.63,96.269997
241,77.36,95.440002
242,78.1,93.760002
243,77.63,95.360001
244,81.47,95.860001
245,81.95,96.800003
246,84.55,96.970001
247,86.11,95.029999
248,85.85,93.620003
249,88.23,94.989998
250,89.01,94.68
251,88.79,95.419998
252,93.87,97.040001
253,86.49,96.849998
254,84.24,97.82
255,84.98,99.330002
256,84.34,98.440002
257,86.09,97.160004
258,85.76,94.900002
259,87.44,96.370003
260,85.8,95.360001
261,84.29,94.75
262,84.47,94.93
263,85.32,94.260002
264,84.44,95.269997
265,83.56,96.040001
266,85.96,96.150002
267,84.6,97.330002
268,83.58,97.900002
269,81.06,98.489998
270,82.12,99.410004
271,83,100.440002
272,84.09,100.57
273,85,100.290001
274,84.5,101.790001
275,84.19,101.419998
276,84,101.019997
277,84.31,101.589996
278,82.76,102.860001
279,81.19,103.059998
280,79.16,103.099998
281,78.14,98.849998
282,78.46,98.800003
283,78.87,99.300003
284,80.9,99.080002
285,82.24,98.010002
286,83.85,100.410004
287,84.54,101.209999
288,83.86,102.809998
289,83.55,99.800003
290,90.7,101.269997
291,90.44,101.93
292,90.28,102.290001
293,90.56,101.800003
294,93.75,100.599998
295,92.38,102.160004
296,92.11,100.510002
297,90.52,98.529999
298,92.21,98.650002
299,91.72,100.809998
300,93.36,100.589996
301,91.04,99.269997
302,89.85,99.440002
303,88.67,99.949997
304,90.91,99.43
305,93.97,98.760002
306,95.22,101.540001
307,95.71,100.690002
308,93.6,101.330002
309,94.83,100.389999
310,97.46,97.970001
311,96.01,95.550003
312,95.32,97.5
313,94.68,98.32
314,94.98,103.019997
315,93.42,102.839996
316,93.45,104.080002
317,118.49,105.18
318,124.6399,104.849998
319,122.07,105.400002
320,121.64,106.650002
321,122.577,106.959999
322,118.81,108.010002
323,118.84,108.220001
324,118.37,109.360001
325,117.1,109.099998
326,120.61,108.599998
327,126.2,108.75
328,126.67,109.019997
329,130.15,108.699997
330,129.91,109.379997
331,130.53,111.800003
332,132.97,113.150002
333,131.59,114.269997
334,131.25,113.940002
335,131.29,115.440002
336,128.99,114.910004
337,129.66,117.510002
338,133,116.849998
339,132.94,119.07
340,134.03,117.940002
341,131.74,119.269997
342,135.91,118.809998
343,138.5,113.5
344,142.25,115.75
345,141.17,115.769997
346,137.58,115.989998
347,134.21,114.099998
348,134.11,110.190002
349,131.31,114.410004
350,135.38,112.260002
351,134.15,110.459999
352,131.38,110.699997
353,130.23,106.370003
