Permit #,City,State,ZIP,District,Date issued,Mapped Location,Zip,lng,lat,School Board Districts,S Neighborhoods,Police Precincts,Counties,Council Districts,Zip Codes
288,Nashville,TN,37211,30,11/26/2014,"Nashville, TN",37211,36.069132,-86.724578,3,,5,"2,005",25,"15,803"
435,Nashville,TN,37211,19,5/18/2015,"Nashville, TN",37211,36.069132,-86.724578,3,,5,"2,005",25,"15,803"
270,Nashville,TN,37216,7,11/20/2014,"Nashville, TN",37216,36.216134,-86.726204,2,82,2,"2,005",8,"16,164"
249,Nashville,TN,37216,25,12/29/2014,"Nashville, TN",37216,36.216134,-86.726204,2,82,2,"2,005",8,"16,164"
200,Nashville,TN,37221,22,12/10/2014,"Nashville, TN",37221,36.064367,-86.96029,5,84,8,"2,005",35,"16,173"
473,Nashville,TN,37205,24,11/19/2015,"Nashville, TN",37205,36.112469,-86.867263,5,4,8,"2,005",32,"30,816"
446,Nashville,TN,37205,23,6/10/2015,"Nashville, TN",37205,36.112469,-86.867263,5,4,8,"2,005",32,"30,816"
301,Nashville,TN,37205,23,1/7/2015,"Nashville, TN",37205,36.112469,-86.867263,5,4,8,"2,005",32,"30,816"
316,Nashville,TN,37206,6,12/10/2014,"Nashville, TN",37206,36.18095,-86.739624,7,14,2,"2,005",7,"15,548"
302,Nashville,TN,37206,6,4/14/2014,"Nashville, TN",37206,36.18095,-86.739624,7,14,2,"2,005",7,"15,548"
229,Nashville,TN,37217,13,8/5/2013,"Nashville, TN",37217,36.106646,-86.667608,9,,3,"2,005",18,"15,807"
331,Nashville,TN,37076,12,3/12/2015,"Nashville, TN",37076,36.175185,-86.5933,4,,3,"2,005",16,"28,805"
89,Nashville,TN,37205,23,1/29/2013,"Nashville, TN",37205,36.112469,-86.867263,5,4,8,"2,005",32,"30,816"
42,Nashville,TN,37215,16,11/26/2014,"Nashville, TN",37215,36.091316,-86.827959,6,,5,"2,005",23,"15,809"
135,Nashville,TN,37206,6,1/26/2015,"Nashville, TN",37206,36.18095,-86.739624,7,14,2,"2,005",7,"15,548"
305,Nashville,TN,37013,29,11/18/2014,"Nashville, TN",37013,36.049335,-86.641832,8,669,7,"2,005",30,"24,062"
411,Nashville,TN,37216,6,11/19/2015,"Nashville, TN",37216,36.216134,-86.726204,2,82,2,"2,005",8,"16,164"
338,Nashville,TN,37209,24,12/4/2015,"Nashville, TN",37209,36.149599,-86.874487,5,2,8,"2,005",14,"15,798"
259,Nashville,TN,37212,19,11/18/2014,"Nashville, TN",37212,36.133256,-86.801456,6,578,5,"2,005",12,"15,804"
278,Nashville,TN,37205,23,11/21/2014,"Nashville, TN",37205,36.112469,-86.867263,5,4,8,"2,005",32,"30,816"
144,Nashville,TN,37207,5,12/29/2014,"Nashville, TN",37207,36.224945,-86.775061,1,,6,"2,005",2,"15,550"
208,Nashville,TN,37205,24,5/20/2013,"Nashville, TN",37205,36.112469,-86.867263,5,4,8,"2,005",32,"30,816"
119,Nashville,TN,37211,27,2/13/2015,"Nashville, TN",37211,36.069132,-86.724578,3,,5,"2,005",25,"15,803"
420,Nashville,TN,37217,11,11/30/2015,"Nashville, TN",37217,36.106646,-86.667608,9,,3,"2,005",18,"15,807"
63,Nashville,TN,37217,6,1/30/2015,"Nashville, TN",37217,36.106646,-86.667608,9,,3,"2,005",18,"15,807"
425,Nashville,TN,37013,21,4/28/2015,"Nashville, TN",37013,36.049335,-86.641832,8,669,7,"2,005",30,"24,062"
303,Nashville,TN,37138,11,4/18/2014,"Nashville, TN",37138,36.239455,-86.611783,4,121,3,"2,005",17,"18,487"
441,Nashville,TN,37209,20,5/29/2015,"Nashville, TN",37209,36.149599,-86.874487,5,2,8,"2,005",14,"15,798"
429,Nashville,TN,37216,7,4/29/2015,"Nashville, TN",37216,36.216134,-86.726204,2,82,2,"2,005",8,"16,164"
,Nashville,TN,37220,25,1/8/2015,"Nashville, TN",37220,36.06788,-86.776955,6,,5,"2,005",34,"16,171"
202,Nashville,TN,37206,6,10/26/2012,"Nashville, TN",37206,36.18095,-86.739624,7,14,2,"2,005",7,"15,548"
240,Nashville,TN,37204,17,11/30/2015,"Nashville, TN",37204,36.109305,-86.776748,6,,5,"2,005",23,"30,813"
248,Nashville,TN,37206,6,1/23/2014,"Nashville, TN",37206,36.18095,-86.739624,7,14,2,"2,005",7,"15,548"
287,Nashville,TN,37215,25,12/1/2015,"Nashville, TN",37215,36.091316,-86.827959,6,,5,"2,005",23,"15,809"
175,Nashville,TN,37215,34,6/12/2012,"Nashville, TN",37215,36.091316,-86.827959,6,,5,"2,005",23,"15,809"
442,Nashville,TN,37013,29,6/1/2015,"Nashville, TN",37013,36.049335,-86.641832,8,669,7,"2,005",30,"24,062"
486,Nashville,TN,37215,20,10/14/2015,"Nashville, TN",37215,36.091316,-86.827959,6,,5,"2,005",23,"15,809"
427,Nashville,TN,37218,1,4/29/2015,"Nashville, TN",37218,36.210699,-86.866798,1,,6,"2,005",1,"16,168"
46,Nashville,TN,37013,29,3/11/2015,"Nashville, TN",37013,36.049335,-86.641832,8,669,7,"2,005",30,"24,062"
332,Nashville,TN,37211,27,12/16/2014,"Nashville, TN",37211,36.069132,-86.724578,3,,5,"2,005",25,"15,803"
100,Nashville,TN,37216,7,2/6/2015,"Nashville, TN",37216,36.216134,-86.726204,2,82,2,"2,005",8,"16,164"
